N_y,eps,omega2,rho_prime_Linf,abs_gap,rel_gap,locality_gap_norm,L_inv_R_v_norm,resid_norm,gap_over_eps,gap_over_eps2
64,0.0001,0.0003345639762100348,0.0006283185307179586,0.019177763340556084,57.321662534632146,57.321662534632146,0.0003345639762100308,0.019177763340556084,191.77763340556083,1917776.3340556084
128,0.0001,0.0003346715303995077,0.0006283185307179586,0.01917360114222463,57.29080426810201,57.29080426810201,0.00033467153039951265,0.01917360114222463,191.7360114222463,1917360.114222463
64,0.0003,0.0010036919489583719,0.0018849555921538756,0.057533292163377596,57.32166350750012,57.32166350750012,0.0010036919489583513,0.057533292163377596,191.777640544592,639258.8018153068
128,0.0003,0.0010040146115519594,0.0018849555921538756,0.05752080556731958,57.290805238776684,57.290805238776684,0.0010040146115521383,0.05752080556731958,191.73601855773197,639120.0618591065
64,0.001,0.003345640600641917,0.006283185307179587,0.19177772175113406,57.32167457387366,57.32167457387366,0.0033456406006418977,0.19177772175113406,191.77772175113404,191777.72175113406
128,0.001,0.00334671614357873,0.006283185307179587,0.19173609972384795,57.29081628022724,57.29081628022724,0.0033467161435788754,0.19173609972384795,191.73609972384796,191736.09972384796
64,0.003,0.01003694213029277,0.01884955592153876,0.575335306978164,57.32177186134418,57.32177186134418,0.01003694213029291,0.575335306978164,191.778435659388,63926.145219796
128,0.003,0.010040168784366301,0.01884955592153876,0.5752104398303003,57.29091334858417,57.29091334858417,0.01004016878436649,0.5752104398303003,191.73681327676675,63912.271092255585
64,0.01,0.033457244588445886,0.06283185307179587,1.917865569459944,57.32287858882083,57.32287858882083,0.0334572445884455,1.917865569459944,191.7865569459944,19178.655694599438
128,0.01,0.03346800105997535,0.06283185307179587,1.9174493052111192,57.292017583454644,57.292017583454644,0.033468001059974176,1.9174493052111192,191.7449305211119,19174.493052111193
64,0.03,0.10039207186259881,0.18849555921538758,5.75573996441191,57.332614594202596,57.332614594202596,0.10039207186259953,5.75573996441191,191.85799881373032,6395.266627124344
128,0.03,0.10042436655892681,0.18849555921538758,5.754490104850043,57.30173166164528,57.30173166164528,0.10042436655892184,5.754490104850043,191.81633682833478,6393.877894277825
64,0.1,0.3354151041612493,0.6283185307179586,19.267650381226105,57.444194200518666,57.444194200518666,0.3354151041612511,19.267650381226105,192.67650381226105,1926.7650381226101
128,0.1,0.33552371905727635,0.6283185307179586,19.263443424589358,57.41306003257978,57.41306003257978,0.33552371905726797,19.263443424589358,192.63443424589357,1926.3443424589354
64,0.3,1.0276130666792698,1.8849555921538759,60.11152474779214,58.49626352265281,58.49626352265281,1.0276130666792729,60.11152474779214,200.37174915930714,667.9058305310238
128,0.3,1.0279662522859379,1.8849555921538759,60.09775040147154,58.46276593986432,58.46276593986432,1.0279662522859248,60.09775040147154,200.32583467157178,667.7527822385726
64,0.5,1.793804963400244,3.141592653589793,109.57334630572544,61.08431437162648,61.08431437162648,1.7938049634002602,109.57334630572544,219.14669261145087,438.29338522290175
128,0.5,1.7945056080803736,3.141592653589793,109.54567140777498,61.045042664960626,61.045042664960626,1.7945056080803319,109.54567140777498,219.09134281554995,438.1826856310999
