N_y,omega_n1,per_step_primitive,per_step_assembled,elapsed_sec
32,1.6439958992206432,1.052384938382727e-05,4.692844331653255e-18,0.12404632568359375
48,1.6445957097821624,1.050577463384761e-05,6.067909270458184e-18,0.11606216430664062
64,1.6448006083958295,1.0499579726949697e-05,5.458452118179801e-18,0.11792540550231934
96,1.6449447228935068,1.0495218319916985e-05,5.948639387797188e-18,0.12120270729064941
128,1.6449945491400362,1.0493710752074746e-05,5.008457982287039e-18,0.38330817222595215
192,1.6450298703114572,1.0492639221868693e-05,2.0198481122322674e-17,0.43724870681762695
256,1.6450421603189076,1.049226814068165e-05,8.728583190566376e-17,0.609027624130249
