kx_multiplier,kx_phys,n_g,omega2,c_measured,c_variance_predicted,k2N2_mean,k2N2_var
1,6.283185307179586,1,2.705843141370402,19.652021678230877,19.652021678230877,183.73137895864866,2827.61126155119
1,6.283185307179586,2,1.3914924185738962,58.26819992340833,58.268199923408325,172.9688291143061,6573.927228262395
1,6.283185307179586,3,0.815674937392162,111.9090804581477,111.90908045814768,170.79517517528706,8332.299863810274
1,6.283185307179586,5,0.35761613412336263,277.22668448185823,277.22668448185823,169.9377568038842,9828.885372078346
1,6.283185307179586,7,0.1945663870031672,524.8972576322603,524.8972576322603,169.4317727341773,10429.998266262372
1,6.283185307179586,10,0.09878947204814409,1054.2361796643895,1054.2361796643895,168.6487981519808,10846.68834270132
2,12.566370614359172,1,3.9028578820272277,47.367239380118846,47.367239380118846,875.9867006306662,34176.030847706024
2,12.566370614359172,2,2.4849357121684323,117.80433332107897,117.80433332107897,771.6052195777138,85694.47981491867
2,12.566370614359172,3,1.756837497397705,192.6316089758054,192.6316089758054,728.0143945031855,114529.74372128017
2,12.566370614359172,5,0.9929407573426899,385.42981914475763,385.42981914475763,688.5540795194513,146466.16071208712
2,12.566370614359172,7,0.6196865423474881,649.1991009303856,649.1991009303856,673.6440129155824,161845.24667281477
2,12.566370614359172,10,0.3480177484888779,1192.3732879869578,1192.3732879869578,666.5719852926729,172197.66673068583
4,25.132741228718345,1,5.095525164643372,121.23730248466266,121.23730248466266,4052.569026716826,381636.96292159025
4,25.132741228718345,2,3.6748178500546627,269.98260773178515,269.98260773178515,3520.7774131493425,984335.6404398663
4,25.132741228718345,3,2.898452390891495,402.2677772512407,402.2677772512408,3265.99200428079,1359448.7318706815
4,25.132741228718345,5,1.9879148333089907,683.4519336593802,683.4519336593802,3009.228603480841,1845914.1621224494
4,25.132741228718345,7,1.4492836840218404,1014.0271528505084,1014.0271528505086,2873.3284587917315,2159762.392640184
4,25.132741228718345,10,0.9617609734348278,1632.2145150522401,1632.2145150522401,2754.169044103243,2464272.7333841557
8,50.26548245743669,1,6.182622556987278,317.07836841059486,317.0783684105948,18156.751894060937,3843073.562923231
8,50.26548245743669,2,4.867291853110492,654.6354259646756,654.6354259646755,16000.931514913913,10152518.367647037
8,50.26548245743669,3,4.099190416815895,933.116775822147,933.116775822147,14805.205600301782,14630803.591480222
8,50.26548245743669,5,3.1534318926160654,1454.3232664854204,1454.3232664854204,13465.455855432418,21032399.16010212
8,50.26548245743669,7,2.5525469660370987,1982.8479177494203,1982.8479177494203,12716.507956750032,25616883.58052006
8,50.26548245743669,10,1.9465073683872451,2843.827114715537,2843.827114715537,12039.915759828335,30642097.177029867
