step,t,dt,mass,KE,IE,PE,E,max_v,max_mach
10,9.0088632117e-03,9.008863e-04,1.0000000000e+00,2.5000000000e-05,1.5000000000e+00,0.0000000000e+00,1.5000250000e+00,9.807853e-03,7.597130e-03
20,1.8017726423e-02,9.008863e-04,1.0000000000e+00,2.5000000000e-05,1.5000000000e+00,0.0000000000e+00,1.5000250000e+00,9.807853e-03,7.597130e-03
30,2.7026589635e-02,9.008863e-04,1.0000000000e+00,2.5000000000e-05,1.5000000000e+00,0.0000000000e+00,1.5000250000e+00,9.807853e-03,7.597130e-03
40,3.6035452847e-02,9.008863e-04,1.0000000000e+00,2.5000000000e-05,1.5000000000e+00,0.0000000000e+00,1.5000250000e+00,9.807853e-03,7.597130e-03
50,4.5044316058e-02,9.008863e-04,1.0000000000e+00,2.5000000000e-05,1.5000000000e+00,0.0000000000e+00,1.5000250000e+00,9.807853e-03,7.597130e-03
60,5.4053179270e-02,9.008863e-04,1.0000000000e+00,2.5000000000e-05,1.5000000000e+00,0.0000000000e+00,1.5000250000e+00,9.807853e-03,7.597130e-03
70,6.3062042482e-02,9.008863e-04,1.0000000000e+00,2.5000000000e-05,1.5000000000e+00,0.0000000000e+00,1.5000250000e+00,9.807853e-03,7.597130e-03
80,7.2070905693e-02,9.008863e-04,1.0000000000e+00,2.5000000000e-05,1.5000000000e+00,0.0000000000e+00,1.5000250000e+00,9.807853e-03,7.597130e-03
90,8.1079768905e-02,9.008863e-04,1.0000000000e+00,2.5000000000e-05,1.5000000000e+00,0.0000000000e+00,1.5000250000e+00,9.807853e-03,7.597130e-03
100,9.0088632117e-02,9.008863e-04,1.0000000000e+00,2.5000000000e-05,1.5000000000e+00,0.0000000000e+00,1.5000250000e+00,9.807853e-03,7.597130e-03
110,9.9097495328e-02,9.008863e-04,1.0000000000e+00,2.5000000000e-05,1.5000000000e+00,0.0000000000e+00,1.5000250000e+00,9.807853e-03,7.597130e-03
120,1.0810635854e-01,9.008863e-04,1.0000000000e+00,2.5000000000e-05,1.5000000000e+00,0.0000000000e+00,1.5000250000e+00,9.807853e-03,7.597130e-03
130,1.1711522175e-01,9.008863e-04,1.0000000000e+00,2.5000000000e-05,1.5000000000e+00,0.0000000000e+00,1.5000250000e+00,9.807853e-03,7.597130e-03
140,1.2612408496e-01,9.008863e-04,1.0000000000e+00,2.5000000000e-05,1.5000000000e+00,0.0000000000e+00,1.5000250000e+00,9.807853e-03,7.597130e-03
150,1.3513294818e-01,9.008863e-04,1.0000000000e+00,2.5000000000e-05,1.5000000000e+00,0.0000000000e+00,1.5000250000e+00,9.807853e-03,7.597130e-03
160,1.4414181139e-01,9.008863e-04,1.0000000000e+00,2.5000000000e-05,1.5000000000e+00,0.0000000000e+00,1.5000250000e+00,9.807853e-03,7.597130e-03
170,1.5315067460e-01,9.008863e-04,1.0000000000e+00,2.5000000000e-05,1.5000000000e+00,0.0000000000e+00,1.5000250000e+00,9.807853e-03,7.597130e-03
180,1.6215953781e-01,9.008863e-04,1.0000000000e+00,2.5000000000e-05,1.5000000000e+00,0.0000000000e+00,1.5000250000e+00,9.807853e-03,7.597130e-03
190,1.7116840102e-01,9.008863e-04,1.0000000000e+00,2.5000000000e-05,1.5000000000e+00,0.0000000000e+00,1.5000250000e+00,9.807853e-03,7.597130e-03
200,1.8017726423e-01,9.008863e-04,1.0000000000e+00,2.5000000000e-05,1.5000000000e+00,0.0000000000e+00,1.5000250000e+00,9.807853e-03,7.597130e-03
210,1.8918612745e-01,9.008863e-04,1.0000000000e+00,2.5000000000e-05,1.5000000000e+00,0.0000000000e+00,1.5000250000e+00,9.807853e-03,7.597130e-03
220,1.9819499066e-01,9.008863e-04,1.0000000000e+00,2.5000000000e-05,1.5000000000e+00,0.0000000000e+00,1.5000250000e+00,9.807853e-03,7.597130e-03
230,2.0720385387e-01,9.008863e-04,1.0000000000e+00,2.5000000000e-05,1.5000000000e+00,0.0000000000e+00,1.5000250000e+00,9.807853e-03,7.597130e-03
240,2.1621271708e-01,9.008863e-04,1.0000000000e+00,2.5000000000e-05,1.5000000000e+00,0.0000000000e+00,1.5000250000e+00,9.807853e-03,7.597130e-03
250,2.2522158029e-01,9.008863e-04,1.0000000000e+00,2.5000000000e-05,1.5000000000e+00,0.0000000000e+00,1.5000250000e+00,9.807853e-03,7.597130e-03
260,2.3423044350e-01,9.008863e-04,1.0000000000e+00,2.5000000000e-05,1.5000000000e+00,0.0000000000e+00,1.5000250000e+00,9.807853e-03,7.597130e-03
270,2.4323930672e-01,9.008863e-04,1.0000000000e+00,2.5000000000e-05,1.5000000000e+00,0.0000000000e+00,1.5000250000e+00,9.807853e-03,7.597130e-03
280,2.5224816993e-01,9.008863e-04,1.0000000000e+00,2.5000000000e-05,1.5000000000e+00,0.0000000000e+00,1.5000250000e+00,9.807853e-03,7.597130e-03
290,2.6125703314e-01,9.008863e-04,1.0000000000e+00,2.5000000000e-05,1.5000000000e+00,0.0000000000e+00,1.5000250000e+00,9.807853e-03,7.597130e-03
300,2.7026589635e-01,9.008863e-04,1.0000000000e+00,2.5000000000e-05,1.5000000000e+00,0.0000000000e+00,1.5000250000e+00,9.807853e-03,7.597130e-03
310,2.7927475956e-01,9.008863e-04,1.0000000000e+00,2.5000000000e-05,1.5000000000e+00,0.0000000000e+00,1.5000250000e+00,9.807853e-03,7.597130e-03
320,2.8828362277e-01,9.008863e-04,1.0000000000e+00,2.5000000000e-05,1.5000000000e+00,0.0000000000e+00,1.5000250000e+00,9.807853e-03,7.597130e-03
330,2.9729248599e-01,9.008863e-04,1.0000000000e+00,2.5000000000e-05,1.5000000000e+00,0.0000000000e+00,1.5000250000e+00,9.807853e-03,7.597130e-03
340,3.0630134920e-01,9.008863e-04,1.0000000000e+00,2.5000000000e-05,1.5000000000e+00,0.0000000000e+00,1.5000250000e+00,9.807853e-03,7.597130e-03
350,3.1531021241e-01,9.008863e-04,1.0000000000e+00,2.5000000000e-05,1.5000000000e+00,0.0000000000e+00,1.5000250000e+00,9.807853e-03,7.597130e-03
360,3.2431907562e-01,9.008863e-04,1.0000000000e+00,2.5000000000e-05,1.5000000000e+00,0.0000000000e+00,1.5000250000e+00,9.807853e-03,7.597130e-03
370,3.3332793883e-01,9.008863e-04,1.0000000000e+00,2.5000000000e-05,1.5000000000e+00,0.0000000000e+00,1.5000250000e+00,9.807853e-03,7.597130e-03
380,3.4233680204e-01,9.008863e-04,1.0000000000e+00,2.5000000000e-05,1.5000000000e+00,0.0000000000e+00,1.5000250000e+00,9.807853e-03,7.597130e-03
390,3.5134566526e-01,9.008863e-04,1.0000000000e+00,2.5000000000e-05,1.5000000000e+00,0.0000000000e+00,1.5000250000e+00,9.807853e-03,7.597130e-03
400,3.6035452847e-01,9.008863e-04,1.0000000000e+00,2.5000000000e-05,1.5000000000e+00,0.0000000000e+00,1.5000250000e+00,9.807853e-03,7.597130e-03
410,3.6936339168e-01,9.008863e-04,1.0000000000e+00,2.5000000000e-05,1.5000000000e+00,0.0000000000e+00,1.5000250000e+00,9.807853e-03,7.597130e-03
