step,t,dt,mass,KE,IE,PE,E,max_v,max_mach
10,9.8874775007e-03,9.903938e-04,1.0000000000e+00,2.3841857910e-11,2.5000250000e+00,0.0000000000e+00,2.5000250000e+00,9.765627e-06,8.253420e-06
20,1.9791563070e-02,9.904102e-04,1.0000000000e+00,2.2737367642e-17,2.5000250000e+00,0.0000000000e+00,2.5000250000e+00,9.539103e-09,8.061974e-09
30,2.9695664957e-02,9.904102e-04,1.0000000000e+00,2.1781837225e-23,2.5000250000e+00,0.0000000000e+00,2.5000250000e+00,1.175206e-11,9.932250e-12
40,3.9599766859e-02,9.904102e-04,1.0000000000e+00,1.0374525671e-25,2.5000250000e+00,0.0000000000e+00,2.5000250000e+00,4.205678e-12,3.554429e-12
50,4.9503868761e-02,9.904102e-04,1.0000000000e+00,1.0356524983e-25,2.5000250000e+00,0.0000000000e+00,2.5000250000e+00,3.826517e-12,3.233981e-12
60,5.9407970663e-02,9.904102e-04,1.0000000000e+00,1.0800183881e-25,2.5000250000e+00,0.0000000000e+00,2.5000250000e+00,4.091869e-12,3.458244e-12
70,6.9312072565e-02,9.904102e-04,1.0000000000e+00,1.0738362572e-25,2.5000250000e+00,0.0000000000e+00,2.5000250000e+00,4.650503e-12,3.930373e-12
80,7.9216174466e-02,9.904102e-04,1.0000000000e+00,1.0746777308e-25,2.5000250000e+00,0.0000000000e+00,2.5000250000e+00,3.608024e-12,3.049321e-12
90,8.9120276368e-02,9.904102e-04,1.0000000000e+00,1.1135122872e-25,2.5000250000e+00,0.0000000000e+00,2.5000250000e+00,3.885195e-12,3.283573e-12
100,9.9024378270e-02,9.904102e-04,1.0000000000e+00,1.0720870030e-25,2.5000250000e+00,0.0000000000e+00,2.5000250000e+00,4.076059e-12,3.444881e-12
110,1.0892848017e-01,9.904102e-04,1.0000000000e+00,1.1117694278e-25,2.5000250000e+00,0.0000000000e+00,2.5000250000e+00,3.758501e-12,3.176497e-12
120,1.1883258207e-01,9.904102e-04,1.0000000000e+00,1.0796186354e-25,2.5000250000e+00,0.0000000000e+00,2.5000250000e+00,3.763313e-12,3.180564e-12
130,1.2873668397e-01,9.904102e-04,1.0000000000e+00,1.0914527973e-25,2.5000250000e+00,0.0000000000e+00,2.5000250000e+00,4.244871e-12,3.587553e-12
140,1.3864078588e-01,9.904102e-04,1.0000000000e+00,1.0886442008e-25,2.5000250000e+00,0.0000000000e+00,2.5000250000e+00,3.738460e-12,3.159559e-12
150,1.4854488778e-01,9.904102e-04,1.0000000000e+00,1.0832145466e-25,2.5000250000e+00,0.0000000000e+00,2.5000250000e+00,3.335638e-12,2.819114e-12
160,1.5844898968e-01,9.904102e-04,1.0000000000e+00,1.0764167165e-25,2.5000250000e+00,0.0000000000e+00,2.5000250000e+00,3.457274e-12,2.921915e-12
170,1.6835309158e-01,9.904102e-04,1.0000000000e+00,1.0710488971e-25,2.5000250000e+00,0.0000000000e+00,2.5000250000e+00,3.749873e-12,3.169205e-12
180,1.7825719348e-01,9.904102e-04,1.0000000000e+00,1.0919281126e-25,2.5000250000e+00,0.0000000000e+00,2.5000250000e+00,3.487162e-12,2.947175e-12
190,1.8816129538e-01,9.904102e-04,1.0000000000e+00,1.0591385170e-25,2.5000250000e+00,0.0000000000e+00,2.5000250000e+00,3.405200e-12,2.877905e-12
200,1.9806539728e-01,9.904102e-04,1.0000000000e+00,1.0880928437e-25,2.5000250000e+00,0.0000000000e+00,2.5000250000e+00,3.816105e-12,3.225181e-12
210,2.0796949918e-01,9.904102e-04,1.0000000000e+00,1.0846476105e-25,2.5000250000e+00,0.0000000000e+00,2.5000250000e+00,3.521017e-12,2.975788e-12
220,2.1787360108e-01,9.904102e-04,1.0000000000e+00,1.0435572624e-25,2.5000250000e+00,0.0000000000e+00,2.5000250000e+00,3.752418e-12,3.171356e-12
230,2.2777770299e-01,9.904102e-04,1.0000000000e+00,1.0521158719e-25,2.5000250000e+00,0.0000000000e+00,2.5000250000e+00,3.470201e-12,2.932841e-12
240,2.3768180489e-01,9.904102e-04,1.0000000000e+00,1.0634207238e-25,2.5000250000e+00,0.0000000000e+00,2.5000250000e+00,3.591194e-12,3.035098e-12
250,2.4758590679e-01,9.904102e-04,1.0000000000e+00,1.0699222569e-25,2.5000250000e+00,0.0000000000e+00,2.5000250000e+00,3.956733e-12,3.344033e-12
260,2.5749000869e-01,9.904102e-04,1.0000000000e+00,1.0435269835e-25,2.5000250000e+00,0.0000000000e+00,2.5000250000e+00,3.703990e-12,3.130428e-12
270,2.6739411059e-01,9.904102e-04,1.0000000000e+00,1.0668729726e-25,2.5000250000e+00,0.0000000000e+00,2.5000250000e+00,3.742315e-12,3.162818e-12
280,2.7729821249e-01,9.904102e-04,1.0000000000e+00,1.0828128625e-25,2.5000250000e+00,0.0000000000e+00,2.5000250000e+00,3.742901e-12,3.163313e-12
290,2.8720231439e-01,9.904102e-04,1.0000000000e+00,1.0842879669e-25,2.5000250000e+00,0.0000000000e+00,2.5000250000e+00,4.017971e-12,3.395788e-12
300,2.9710641629e-01,9.904102e-04,1.0000000000e+00,1.0511190172e-25,2.5000250000e+00,0.0000000000e+00,2.5000250000e+00,3.726638e-12,3.149568e-12
310,3.0701051819e-01,9.904102e-04,1.0000000000e+00,1.0668958532e-25,2.5000250000e+00,0.0000000000e+00,2.5000250000e+00,4.174780e-12,3.528316e-12
320,3.1691462009e-01,9.904102e-04,1.0000000000e+00,1.0707798808e-25,2.5000250000e+00,0.0000000000e+00,2.5000250000e+00,3.985338e-12,3.368209e-12
