N_y,dt,n_steps,omega_1,prim_per_step,asm_per_step,prim_final,asm_final
32,0.0005,100,1.6439958992206112,0.0004334382530113753,3.5918478890721715e-18,0.04291458233346216,4.4285389516660513e-16
48,0.0005,100,1.6445957097819137,0.00043313630190338774,1.107762943573188e-17,0.04288468611006624,1.217108921951897e-15
64,0.0005,100,1.6448006083938287,0.0004330320481458713,2.8734550870820084e-18,0.042874363930997375,4.2311815006277474e-16
96,0.0005,100,1.6449447228920495,0.0004329583112285248,3.439382580709256e-17,0.04286706322892471,3.5445403101349155e-15
128,0.0001,100,1.6449945491361315,1.6942817671812384e-05,3.2286017317582497e-18,0.001677506555529843,5.448069826278889e-16
192,0.0001,100,1.6450298703123614,1.6942074400218064e-05,1.0103241062942656e-17,0.0016774329642766264,1.2878265659564474e-15
256,0.0001,100,1.6450421602582923,1.694181754030455e-05,2.056274324744251e-17,0.0016774075325998814,2.2125950847010468e-15
