N_y,dt,n_steps,omega_1,prim_per_step,asm_per_step,prim_final,asm_final
64,0.0001,100,1.6448006083938287,1.6946876027794153e-05,3.8834776939821704e-18,0.0016779083729882664,5.281169412548695e-16
64,0.0003,100,1.6448006083938287,0.00015360476218526922,4.771163111212631e-18,0.015208380273508263,5.336976998558037e-16
64,0.001,100,1.6448006083938287,0.0018658846892423695,6.038178758832396e-18,0.18473934900122024,7.257871427804856e-16
64,0.003,100,1.6448006083938287,1.0091463234862067e+128,5.447506657730215e-17,9.990548602513447e+129,5.499708328355275e-15
64,0.01,100,1.6448006083938287,nan,4.657133464793872e-16,nan,4.632457487084172e-14
