E_bomb_erg,IE_erg,KE_erg,M_Ar_orich,M_Ar_total,M_C_orich,M_C_total,M_Ca_orich,M_Ca_total,M_Cr_orich,M_Cr_total,M_Fe_orich,M_Fe_total,M_He_orich,M_He_total,M_Mg_orich,M_Mg_total,M_Ne_orich,M_Ne_total,M_Ni_orich,M_Ni_total,M_O_orich,M_O_total,M_S_orich,M_S_total,M_Si_orich,M_Si_total,M_Ti_orich,M_Ti_total,M_ejecta_msun,M_orich_total,Mg_Ne,Mg_Ne_paper,Mg_Ne_ratio_to_paper,Si_Ne,mass_cut,nr,nz_orich,t_final,wall_s,zams
5e+50,2.025082573566718e+50,3.2335143687945348e+50,0.00040053671826760804,0.03846823290086062,0.0411799385211003,0.13554397892732023,3.160205871315361e-05,0.013526266451039805,1.6082202541720483e-05,0.00029023719124992095,0.0006861257624809504,0.012350263724808252,0.004232839796377432,8.762360350826622,0.02847289419788087,0.03450903629556895,0.09569658465591578,0.11128230805345736,2.381511270889698e-23,2.246318560842938e-19,0.3484581244473526,0.39993762969902585,0.00026771224372677604,0.06509738892977072,0.006894056333335959,0.04946822963790631,2.2895551306741854e-06,0.001646483259955048,9.624480590246355,0.5263387822790976,0.2975330237777794,0.3,0.9917767459259313,0.0720407771930843,1.4,128,7,10.0,62.30681657791138,12.02
1e+51,3.722334509996422e+50,7.231550414093232e+50,0.00047094339695018115,0.04123060760969299,0.04117982029915389,0.13557981288705193,2.8737829831572306e-05,0.011761900155417457,1.6082265702374358e-05,0.00028957436181287915,0.0006861256872896959,0.012350263649483885,0.004216729318164422,8.762286403235365,0.028470067006982278,0.03456776069159864,0.09572753815810164,0.11131363251426508,8.696674115963494e-19,8.705419424209788e-19,0.34843273987979584,0.3996039337066718,0.00020551865494106887,0.06767874707285623,0.006897008469088301,0.04604238205621358,7.479515309730769e-06,0.0017753808719005262,9.624480590246355,0.5263387822790976,0.2974072827399123,0.3,0.991357609133041,0.07204832174517371,1.4,128,7,10.0,65.15150618553162,12.02
2e+51,7.928978643510543e+50,1.461024849017035e+51,0.004962764581967822,0.055734074284497954,0.04115434474661497,0.13552659421963872,4.490122539384718e-05,0.020276269084235563,5.606648908178606e-05,0.0003301937330999307,0.0006418172028269876,0.012305955166466185,0.003986523021133921,8.761997675584869,0.022475403599633743,0.028350548319686888,0.08409599152465355,0.09970038870530583,9.945098987556224e-13,9.945108050483267e-13,0.3576768354320891,0.40831780119550676,0.004440008455518281,0.07266447684450383,0.006750389944785167,0.020980635765788163,5.3749609825142406e-05,0.008295806455554092,9.624480590246355,0.5263387822790976,0.26725891677066277,0.3,0.8908630559022093,0.08027005594917357,1.4,128,7,10.0,66.66089105606079,12.02
4e+51,1.274000031504476e+51,2.5914740797812014e+51,0.01056817653761463,0.06701448995316049,0.04022968946335793,0.13458413394148003,0.0020675894725786003,0.04497020522696576,8.688693007899304e-05,0.0003734526912453652,0.0004913094151993912,0.01215544753475684,0.002968522911344133,8.760878866560022,0.017585500328445736,0.023434828906088976,0.06573877970369879,0.08157620471062686,2.8422546636509374e-11,2.842321800083839e-11,0.36897152432276525,0.41938184698141595,0.0026437757864032577,0.022389222475811488,0.008280491895892274,0.01469465589159742,0.006706548461346434,0.04302706110668032,9.624480590246355,0.5263387822790976,0.26750573113325204,0.3,0.8916857704441735,0.12596053551974243,1.4,128,7,10.0,68.44842004776001,12.02
5e+50,3.0471922196616777e+50,3.7042665820449232e+50,0.0005399928519096193,0.0013192212112123707,0.05508467738060352,0.12183645212044437,3.0442943213150397e-05,0.0005721976914610907,1.5955142754893083e-05,0.00028817072464793646,0.0006716432666543859,0.01228535868909296,0.004157832707548367,8.758479843321872,0.020000346660993238,0.025997277983314138,0.07468341436492698,0.08977938524386585,6.829635404185983e-14,6.829635404185985e-14,0.35144801117585833,0.3954111492527814,0.0032486887012898175,0.006575894031517309,0.00551735941805917,0.011902116054996845,2.924849043344294e-06,3.333021626335135e-05,9.424480590246354,0.5154012822790974,0.267801717838785,0.3,0.89267239279595,0.07387663599711165,1.6,128,7,10.0,24.18037748336792,12.02
1e+51,5.670962986284337e+50,7.805660941697558e+50,0.0015783109825039698,0.0025064960377573398,0.05471423812804176,0.1214662087203699,4.309900236017498e-05,0.0005822566398652731,5.096986395170714e-05,0.0003231854458447505,0.0006344727544255567,0.012248188176864131,0.004138053825601841,8.75839784814228,0.017940626096580023,0.023844266690430202,0.05352554053460042,0.06862153791989097,2.4680036597314065e-10,2.4680036597314076e-10,0.3674962965141973,0.41145938158798884,0.0020198594387427346,0.005450496908338713,0.004636521658628432,0.010923670511919894,0.008623303546242748,0.008656868501210202,9.424480590246354,0.5154012822790974,0.3351787934767832,0.3,1.1172626449226106,0.08662260319690286,1.6,128,7,10.0,25.787790060043335,12.02
2e+51,1.007914508446343e+51,1.553366765826355e+51,0.0006201859648851136,0.0017747426129377476,0.05407294400083087,0.12082522707359354,0.0002936940519409822,0.0008299658279327342,0.0001007585837640777,0.0003729741656571211,0.0004833307651372564,0.012097046187575832,0.004071322602288996,8.758280813753817,0.0164400247729611,0.022287062568426403,0.05351415626733946,0.06861272697760366,1.2874595621895467e-10,1.2874595621925426e-10,0.3667333479960396,0.41069313676349983,0.0024457941263957544,0.005766501081495818,0.00682205658796937,0.013094811059058516,0.009803667608347479,0.009845391330418866,9.424480590246354,0.5154012822790974,0.30720889423785436,0.3,1.0240296474595145,0.12748134444816014,1.6,128,7,10.0,25.71247887611389,12.02
4e+51,2.6185523381786723e+51,2.835225273256317e+51,0.007047533174794111,0.00831384698653119,0.05319837942996947,0.1199509336774354,0.0035327224610918716,0.004064887529753566,1.5677900364018973e-05,0.0002878934822570623,0.00047884453931122624,0.0120925599617498,0.0035018616158324547,8.757683602089747,0.003934906060479762,0.009786426206365483,0.03388038753795284,0.04898098591049034,2.6307482491060886e-10,2.6307482491131077e-10,0.36444194752378134,0.4083990813082976,0.02261368588589476,0.025932014986945827,0.005176501097863197,0.011358527445962883,0.017578841511903837,0.0176296488213099,9.424480590246354,0.5154012822790974,0.11614111721927256,0.3,0.3871370573975752,0.15278754093542984,1.6,128,7,10.0,27.835001707077026,12.02
5e+50,3.999444284570847e+50,3.504793921406652e+50,0.0004344944272269595,0.0013471528736232875,0.03773147453295937,0.11900279976981964,1.4727029556825167e-05,0.0005575033616244509,8.807894398840276e-06,0.00028185262076288887,0.0003757770892748289,0.012024866856794521,0.0040458795274209815,8.768166010190463,0.006765992346230938,0.01273559885033765,0.049262127879133186,0.06468964272797283,1.4521107123836767e-21,1.452111438291836e-21,0.18918333741413929,0.23550960007553032,7.731922257905516e-05,0.003406229262165797,0.00035967662185773546,0.006722511846177443,5.405374252330899e-06,3.662950301980133e-05,9.224480590246355,0.2882650184451986,0.13734673343448744,0.3,0.4578224447816248,0.007301280666158352,1.8,128,4,10.0,1.2287042140960693,12.02
1e+51,7.39328928227775e+50,7.44444777233818e+50,0.0004385451697852418,0.0015120595011957594,0.03773054055429961,0.11900204610092893,1.4136848009323749e-05,0.0005519309821146776,8.807894398840276e-06,0.00028185262076288887,0.0003757770892748289,0.012024866856794521,0.003888361432067094,8.767945405295821,0.006759470278421403,0.012634000772235513,0.04995269411599541,0.06538239473433742,3.253302893907463e-18,3.2533086442565227e-18,0.18862083147039624,0.23494519883325138,7.811809637562403e-05,0.0034826027104534947,0.00036661099607367386,0.006648841559249644,3.113052680986113e-05,6.921446096301832e-05,9.224480590246355,0.2882650184451986,0.13531743178306266,0.3,0.45105810594354223,0.00733916363394464,1.8,128,4,10.0,1.4084713459014893,12.02
