step,t,dt,mass,KE,IE,PE,E,max_v,max_mach
10,9.8213702980e-03,9.821593e-04,1.0000000000e+00,2.4700580815e-05,2.5000002994e+00,0.0000000000e+00,2.5000250000e+00,9.939936e-03,8.400778e-03
20,1.9643233675e-02,9.822084e-04,1.0000000000e+00,2.4404747707e-05,2.5000005953e+00,0.0000000000e+00,2.5000250000e+00,9.880232e-03,8.350319e-03
30,2.9465587201e-02,9.822573e-04,1.0000000000e+00,2.4112457728e-05,2.5000008875e+00,0.0000000000e+00,2.5000250000e+00,9.820887e-03,8.300162e-03
40,3.9288427950e-02,9.823059e-04,1.0000000000e+00,2.3823668451e-05,2.5000011763e+00,0.0000000000e+00,2.5000250000e+00,9.761899e-03,8.250307e-03
50,4.9111753006e-02,9.823542e-04,1.0000000000e+00,2.3538337954e-05,2.5000014617e+00,0.0000000000e+00,2.5000250000e+00,9.703265e-03,8.200751e-03
60,5.8935559465e-02,9.824022e-04,1.0000000000e+00,2.3256424818e-05,2.5000017436e+00,0.0000000000e+00,2.5000250000e+00,9.644983e-03,8.151493e-03
70,6.8759844439e-02,9.824499e-04,1.0000000000e+00,2.2977888118e-05,2.5000020221e+00,0.0000000000e+00,2.5000250000e+00,9.587051e-03,8.102531e-03
80,7.8584605058e-02,9.824974e-04,1.0000000000e+00,2.2702687417e-05,2.5000022973e+00,0.0000000000e+00,2.5000250000e+00,9.529467e-03,8.053863e-03
90,8.8409838478e-02,9.825445e-04,1.0000000000e+00,2.2430782763e-05,2.5000025692e+00,0.0000000000e+00,2.5000250000e+00,9.472229e-03,8.005488e-03
100,9.8235541876e-02,9.825914e-04,1.0000000000e+00,2.2162134677e-05,2.5000028379e+00,0.0000000000e+00,2.5000250000e+00,9.415335e-03,7.957403e-03
110,1.0806171246e-01,9.826380e-04,1.0000000000e+00,2.1896704157e-05,2.5000031033e+00,0.0000000000e+00,2.5000250000e+00,9.358782e-03,7.909606e-03
