step,t,dt,mass,KE,IE,PE,E,max_v,max_mach
10,9.0128060127e-03,9.012806e-04,1.0000000000e+00,2.5000000000e-05,1.5000000000e+00,0.0000000000e+00,1.5000250000e+00,9.238795e-03,7.156340e-03
20,1.8025612025e-02,9.012806e-04,1.0000000000e+00,2.5000000000e-05,1.5000000000e+00,0.0000000000e+00,1.5000250000e+00,9.238795e-03,7.156340e-03
30,2.7038418038e-02,9.012806e-04,1.0000000000e+00,2.5000000000e-05,1.5000000000e+00,0.0000000000e+00,1.5000250000e+00,9.238795e-03,7.156340e-03
40,3.6051224051e-02,9.012806e-04,1.0000000000e+00,2.5000000000e-05,1.5000000000e+00,0.0000000000e+00,1.5000250000e+00,9.238795e-03,7.156340e-03
50,4.5064030064e-02,9.012806e-04,1.0000000000e+00,2.5000000000e-05,1.5000000000e+00,0.0000000000e+00,1.5000250000e+00,9.238795e-03,7.156340e-03
60,5.4076836076e-02,9.012806e-04,1.0000000000e+00,2.5000000000e-05,1.5000000000e+00,0.0000000000e+00,1.5000250000e+00,9.238795e-03,7.156340e-03
70,6.3089642089e-02,9.012806e-04,1.0000000000e+00,2.5000000000e-05,1.5000000000e+00,0.0000000000e+00,1.5000250000e+00,9.238795e-03,7.156340e-03
80,7.2102448102e-02,9.012806e-04,1.0000000000e+00,2.5000000000e-05,1.5000000000e+00,0.0000000000e+00,1.5000250000e+00,9.238795e-03,7.156340e-03
90,8.1115254114e-02,9.012806e-04,1.0000000000e+00,2.5000000000e-05,1.5000000000e+00,0.0000000000e+00,1.5000250000e+00,9.238795e-03,7.156340e-03
100,9.0128060127e-02,9.012806e-04,1.0000000000e+00,2.5000000000e-05,1.5000000000e+00,0.0000000000e+00,1.5000250000e+00,9.238795e-03,7.156340e-03
110,9.9140866140e-02,9.012806e-04,1.0000000000e+00,2.5000000000e-05,1.5000000000e+00,0.0000000000e+00,1.5000250000e+00,9.238795e-03,7.156340e-03
120,1.0815367215e-01,9.012806e-04,1.0000000000e+00,2.5000000000e-05,1.5000000000e+00,0.0000000000e+00,1.5000250000e+00,9.238795e-03,7.156340e-03
130,1.1716647817e-01,9.012806e-04,1.0000000000e+00,2.5000000000e-05,1.5000000000e+00,0.0000000000e+00,1.5000250000e+00,9.238795e-03,7.156340e-03
140,1.2617928418e-01,9.012806e-04,1.0000000000e+00,2.5000000000e-05,1.5000000000e+00,0.0000000000e+00,1.5000250000e+00,9.238795e-03,7.156340e-03
150,1.3519209019e-01,9.012806e-04,1.0000000000e+00,2.5000000000e-05,1.5000000000e+00,0.0000000000e+00,1.5000250000e+00,9.238795e-03,7.156340e-03
160,1.4420489620e-01,9.012806e-04,1.0000000000e+00,2.5000000000e-05,1.5000000000e+00,0.0000000000e+00,1.5000250000e+00,9.238795e-03,7.156340e-03
170,1.5321770222e-01,9.012806e-04,1.0000000000e+00,2.5000000000e-05,1.5000000000e+00,0.0000000000e+00,1.5000250000e+00,9.238795e-03,7.156340e-03
180,1.6223050823e-01,9.012806e-04,1.0000000000e+00,2.5000000000e-05,1.5000000000e+00,0.0000000000e+00,1.5000250000e+00,9.238795e-03,7.156340e-03
190,1.7124331424e-01,9.012806e-04,1.0000000000e+00,2.5000000000e-05,1.5000000000e+00,0.0000000000e+00,1.5000250000e+00,9.238795e-03,7.156340e-03
200,1.8025612025e-01,9.012806e-04,1.0000000000e+00,2.5000000000e-05,1.5000000000e+00,0.0000000000e+00,1.5000250000e+00,9.238795e-03,7.156340e-03
210,1.8926892627e-01,9.012806e-04,1.0000000000e+00,2.5000000000e-05,1.5000000000e+00,0.0000000000e+00,1.5000250000e+00,9.238795e-03,7.156340e-03
220,1.9828173228e-01,9.012806e-04,1.0000000000e+00,2.5000000000e-05,1.5000000000e+00,0.0000000000e+00,1.5000250000e+00,9.238795e-03,7.156340e-03
230,2.0729453829e-01,9.012806e-04,1.0000000000e+00,2.5000000000e-05,1.5000000000e+00,0.0000000000e+00,1.5000250000e+00,9.238795e-03,7.156340e-03
240,2.1630734431e-01,9.012806e-04,1.0000000000e+00,2.5000000000e-05,1.5000000000e+00,0.0000000000e+00,1.5000250000e+00,9.238795e-03,7.156340e-03
