step,t,dt,mass,KE,IE,PE,E,max_v,max_mach
370,3.6561002334e-01,9.901762e-04,1.0000000000e+00,1.9744121668e-08,2.5000249803e+00,0.0000000000e+00,2.5000250000e+00,2.810268e-04,2.375090e-04
380,3.7551190692e-01,9.901980e-04,1.0000000000e+00,1.6277454714e-08,2.5000249837e+00,0.0000000000e+00,2.5000250000e+00,2.551656e-04,2.156525e-04
390,3.8541399776e-01,9.902179e-04,1.0000000000e+00,1.3419464105e-08,2.5000249866e+00,0.0000000000e+00,2.5000250000e+00,2.316842e-04,1.958072e-04
400,3.9531627680e-01,9.902359e-04,1.0000000000e+00,1.1063278630e-08,2.5000249889e+00,0.0000000000e+00,2.5000250000e+00,2.103637e-04,1.777883e-04
410,4.0521872671e-01,9.902522e-04,1.0000000000e+00,9.1207914937e-09,2.5000249909e+00,0.0000000000e+00,2.5000250000e+00,1.910052e-04,1.614275e-04
420,4.1512133178e-01,9.902671e-04,1.0000000000e+00,7.5193656659e-09,2.5000249925e+00,0.0000000000e+00,2.5000250000e+00,1.734281e-04,1.465723e-04
430,4.2502407774e-01,9.902806e-04,1.0000000000e+00,6.1991177039e-09,2.5000249938e+00,0.0000000000e+00,2.5000250000e+00,1.574685e-04,1.330841e-04
440,4.3492695163e-01,9.902928e-04,1.0000000000e+00,5.1106784823e-09,2.5000249949e+00,0.0000000000e+00,2.5000250000e+00,1.429776e-04,1.208371e-04
450,4.4482994167e-01,9.903039e-04,1.0000000000e+00,4.2133470920e-09,2.5000249958e+00,0.0000000000e+00,2.5000250000e+00,1.298203e-04,1.097172e-04
460,4.5473303718e-01,9.903140e-04,1.0000000000e+00,3.4735688774e-09,2.5000249965e+00,0.0000000000e+00,2.5000250000e+00,1.178737e-04,9.962059e-05
470,4.6463622845e-01,9.903232e-04,1.0000000000e+00,2.8636806992e-09,2.5000249971e+00,0.0000000000e+00,2.5000250000e+00,1.070265e-04,9.045310e-05
480,4.7453950668e-01,9.903315e-04,1.0000000000e+00,2.3608765039e-09,2.5000249976e+00,0.0000000000e+00,2.5000250000e+00,9.717745e-05,8.212924e-05
490,4.8444286386e-01,9.903391e-04,1.0000000000e+00,1.9463545180e-09,2.5000249981e+00,0.0000000000e+00,2.5000250000e+00,8.823479e-05,7.457137e-05
500,4.9434629273e-01,9.903459e-04,1.0000000000e+00,1.6046141775e-09,2.5000249984e+00,0.0000000000e+00,2.5000250000e+00,8.011506e-05,6.770901e-05
506,5.0000000000e-01,7.019680e-04,1.0000000000e+00,1.4290908271e-09,2.5000249986e+00,0.0000000000e+00,2.5000250000e+00,7.560644e-05,6.389856e-05
