N_y,dt,n_steps,omega1,prim_per_step,prim_final,tau_per_step,tau_final,asm_per_step,asm_final
32,0.0005,100,1.6439958992206112,0.0004334382530113753,0.04291458233346216,7.739352683928172e-15,7.586566657236476e-10,3.5918478890721715e-18,4.4285389516660513e-16
48,0.0005,100,1.6445957097819137,0.00043313630190338774,0.04288468611006624,6.74908260019212e-14,1.708394091342473e-09,1.107762943573188e-17,1.217108921951897e-15
64,0.0005,100,1.6448006083938287,0.0004330320481458713,0.042874363930997375,1.8140918912731944e-14,4.3774088032872734e-10,2.8734550870820084e-18,4.2311815006277474e-16
96,0.0005,100,1.6449447228920495,0.0004329583112285248,0.04286706322892471,1.1094509065137205e-14,3.240623941064892e-10,3.439382580709256e-17,3.5445403101349155e-15
