amp,E0,dE_raw_over_E0,dE_int_over_E0
1e-08,3.1530453706405325e-18,0.2621191320285132,0.30165225597915135
1e-06,3.153045370640548e-14,0.26211913202850984,0.3016522559791419
0.0001,3.153045370640539e-10,0.262119132028507,0.3016522559791455
0.01,3.1530453706405345e-06,0.262119132028506,0.30165225597914247
