step,t,dt,mass,KE,IE,PE,E,max_v,max_mach
10,9.8339253507e-03,9.845464e-04,1.0000000000e+00,1.1505296211e-05,2.5000134947e+00,0.0000000000e+00,2.5000250000e+00,6.783889e-03,5.733407e-03
20,1.9690317449e-02,9.864253e-04,1.0000000000e+00,5.2948863045e-06,2.5000197051e+00,0.0000000000e+00,2.5000250000e+00,4.602116e-03,3.889473e-03
30,2.9562010147e-02,9.877043e-04,1.0000000000e+00,2.4367790557e-06,2.5000225632e+00,0.0000000000e+00,2.5000250000e+00,3.122030e-03,2.638578e-03
40,3.9444112264e-02,9.885739e-04,1.0000000000e+00,1.1214393762e-06,2.5000238786e+00,0.0000000000e+00,2.5000250000e+00,2.117956e-03,1.789985e-03
50,4.9333288693e-02,9.891647e-04,1.0000000000e+00,5.1610201417e-07,2.5000244839e+00,0.0000000000e+00,2.5000250000e+00,1.436801e-03,1.214309e-03
60,5.9227270199e-02,9.895659e-04,1.0000000000e+00,2.3751736511e-07,2.5000247625e+00,0.0000000000e+00,2.5000250000e+00,9.747126e-04,8.237759e-04
70,6.9124514298e-02,9.898383e-04,1.0000000000e+00,1.0930881707e-07,2.5000248907e+00,0.0000000000e+00,2.5000250000e+00,6.612360e-04,5.588419e-04
80,7.9023972956e-02,9.900232e-04,1.0000000000e+00,5.0305449337e-08,2.5000249497e+00,0.0000000000e+00,2.5000250000e+00,4.485764e-04,3.791132e-04
90,8.8924934536e-02,9.901486e-04,1.0000000000e+00,2.3151272992e-08,2.5000249768e+00,0.0000000000e+00,2.5000250000e+00,3.043101e-04,2.571869e-04
100,9.8826915961e-02,9.902337e-04,1.0000000000e+00,1.0654540416e-08,2.5000249893e+00,0.0000000000e+00,2.5000250000e+00,2.064411e-04,1.744732e-04
110,1.0872958936e-01,9.902915e-04,1.0000000000e+00,4.9033688896e-09,2.5000249951e+00,0.0000000000e+00,2.5000250000e+00,1.400478e-04,1.183610e-04
120,1.1863273225e-01,9.903307e-04,1.0000000000e+00,2.2565991171e-09,2.5000249977e+00,0.0000000000e+00,2.5000250000e+00,9.500711e-05,8.029501e-05
130,1.2853619366e-01,9.903573e-04,1.0000000000e+00,1.0385185556e-09,2.5000249990e+00,0.0000000000e+00,2.5000250000e+00,6.445195e-05,5.447139e-05
140,1.3843987117e-01,9.903753e-04,1.0000000000e+00,4.7794080150e-10,2.5000249995e+00,0.0000000000e+00,2.5000250000e+00,4.372361e-05,3.695289e-05
150,1.4834369528e-01,9.903875e-04,1.0000000000e+00,2.1995505860e-10,2.5000249998e+00,0.0000000000e+00,2.5000250000e+00,2.966169e-05,2.506850e-05
160,1.5824761634e-01,9.903953e-04,1.0000000000e+00,1.0122640221e-10,2.5000249999e+00,0.0000000000e+00,2.5000250000e+00,2.012222e-05,1.700624e-05
170,1.6815159975e-01,9.904005e-04,1.0000000000e+00,4.6585809710e-11,2.5000250000e+00,0.0000000000e+00,2.5000250000e+00,1.365073e-05,1.153688e-05
180,1.7805562035e-01,9.904032e-04,1.0000000000e+00,2.1439442862e-11,2.5000250000e+00,0.0000000000e+00,2.5000250000e+00,9.260528e-06,7.826511e-06
190,1.8795966283e-01,9.904050e-04,1.0000000000e+00,9.8667322327e-12,2.5000250000e+00,0.0000000000e+00,2.5000250000e+00,6.282258e-06,5.309433e-06
200,1.9786371627e-01,9.904056e-04,1.0000000000e+00,4.5408085265e-12,2.5000250000e+00,0.0000000000e+00,2.5000250000e+00,4.261826e-06,3.601871e-06
