N_y,omega2,full_primitive_residual,mass_inverse_inconsistency,leibniz_defect,k2N2_mean,k2N2_std,k2N2_over_omega2_mean
32,2.702722516654186,46.612830224725094,74.55138246628039,3.696005983408304e-06,130.6055916786211,114.03453376780637,48.32371465210689
48,2.7046950486330763,46.591819512600615,74.48575990456682,4.032031828643997e-06,131.268317542226,115.1678005750012,48.5335001476664
64,2.705369041372709,46.58459034814602,74.4632817040237,5.937863279433542e-07,131.57950739810792,115.71464154118725,48.63643568987699
96,2.705843141370402,46.57948967340534,74.44745267453388,4.964176844713588e-07,131.87800093181755,116.24915527095678,48.73822836050525
128,2.7060070666875844,46.57772478420907,74.44197897548521,6.207079341472286e-07,132.0229830871936,116.51253951247566,48.78885377369046
192,2.7061232742199044,46.57647021072054,74.4380936366308,1.5507639727984435e-05,132.16466818073687,116.77251150033811,48.839115882049406
256,2.706163709027269,46.57603536842414,74.43674447726781,3.4958225260651773e-06,132.23448444795258,116.90156321468741,48.8641851218544
384,2.706192475843978,46.57572588952827,74.43578448123854,5.2777330295837875e-06,132.30353929588898,117.02985466903084,48.889183041064946
