t,vx_y0.2500,vx_y0.5000,vx_y0.7500,vx_y1.0000,vx_y1.2500,A_drv,f_drive,H,B0y,rho0,yd_bottom
2.8975217572e+00,-1.1145825739e-03,4.6850816437e-04,1.5489785333e-03,-1.8171468245e-03,6.5639835171e-04,1.0000000000e-03,2.0000000000e+00,1.0000000000e+00,5.0000000000e-01,1.0000000000e+00,3.9062500000e-03
2.8992495588e+00,-1.0894198052e-03,5.0314028941e-04,1.5479339079e-03,-1.7923577674e-03,6.5281542616e-04,1.0000000000e-03,2.0000000000e+00,1.0000000000e+00,5.0000000000e-01,1.0000000000e+00,3.9062500000e-03
2.9009773604e+00,-1.0634621088e-03,5.3748557333e-04,1.5462457985e-03,-1.7667695136e-03,6.4852075748e-04,1.0000000000e-03,2.0000000000e+00,1.0000000000e+00,5.0000000000e-01,1.0000000000e+00,3.9062500000e-03
2.9027051621e+00,-1.0367757034e-03,5.7151532278e-04,1.5438244126e-03,-1.7404284757e-03,6.4358786782e-04,1.0000000000e-03,2.0000000000e+00,1.0000000000e+00,5.0000000000e-01,1.0000000000e+00,3.9062500000e-03
2.9044329637e+00,-1.0094307631e-03,6.0520019196e-04,1.5406584208e-03,-1.7133821196e-03,6.3808107824e-04,1.0000000000e-03,2.0000000000e+00,1.0000000000e+00,5.0000000000e-01,1.0000000000e+00,3.9062500000e-03
2.9061607653e+00,-9.8149653554e-04,6.3851033942e-04,1.5365944232e-03,-1.6856794601e-03,6.3205858072e-04,1.0000000000e-03,2.0000000000e+00,1.0000000000e+00,5.0000000000e-01,1.0000000000e+00,3.9062500000e-03
2.9078885670e+00,-9.5303884627e-04,6.7141559572e-04,1.5314533754e-03,-1.6573714427e-03,6.2557383811e-04,1.0000000000e-03,2.0000000000e+00,1.0000000000e+00,5.0000000000e-01,1.0000000000e+00,3.9062500000e-03
2.9096163687e+00,-9.2411923668e-04,7.0388563997e-04,1.5250949116e-03,-1.6285111808e-03,6.1867609600e-04,1.0000000000e-03,2.0000000000e+00,1.0000000000e+00,5.0000000000e-01,1.0000000000e+00,3.9062500000e-03
2.9113441703e+00,-8.9479361612e-04,7.3589018121e-04,1.5174178103e-03,-1.5991540315e-03,6.1141053159e-04,1.0000000000e-03,2.0000000000e+00,1.0000000000e+00,5.0000000000e-01,1.0000000000e+00,3.9062500000e-03
2.9130719720e+00,-8.6511164582e-04,7.6739913929e-04,1.5083249475e-03,-1.5693572231e-03,6.0381833265e-04,1.0000000000e-03,2.0000000000e+00,1.0000000000e+00,5.0000000000e-01,1.0000000000e+00,3.9062500000e-03
2.9147997737e+00,-8.3511680749e-04,7.9838282388e-04,1.4977311880e-03,-1.5391792288e-03,5.9593684087e-04,1.0000000000e-03,2.0000000000e+00,1.0000000000e+00,5.0000000000e-01,1.0000000000e+00,3.9062500000e-03
2.9165275754e+00,-8.0484644184e-04,8.2881211462e-04,1.4855662318e-03,-1.5086805380e-03,5.8779979888e-04,1.0000000000e-03,2.0000000000e+00,1.0000000000e+00,5.0000000000e-01,1.0000000000e+00,3.9062500000e-03
2.9182553770e+00,-7.7433272621e-04,8.5865864479e-04,1.4717759019e-03,-1.4779246881e-03,5.7943769097e-04,1.0000000000e-03,2.0000000000e+00,1.0000000000e+00,5.0000000000e-01,1.0000000000e+00,3.9062500000e-03
