N_y,off_diag_frac_L_inv,off_diag_frac_diag_inv_rho,effective_bw_L_inv,effective_bw_diag_inv_rho,row_decay_alpha,row_decay_fit_resid,frobenius_L_inv,frobenius_diag_inv_rho,cond_L_inv
32,0.7333095915094597,0.0,15.7,0.0,2.4991959440041387,1.3522517955748077,0.08772154266794754,40.55336406866263,13420.888570950454
48,0.8165549147469485,0.0,24.282608695652176,0.0,2.385944585077135,1.5295066858046087,0.08773300669519227,50.95819912882038,70755.58237868971
64,0.8603376575339738,0.0,32.774193548387096,0.0,2.3222265790538965,1.638361503036882,0.0877356354938822,59.572646202484634,228242.89374485973
96,0.9055258743735386,0.0,49.59574468085106,0.0,2.2490453550978975,1.7692573871451376,0.08773693916291357,73.84595466153174,1179479.3551308669
128,0.9286380307229729,0.0,66.48412698412699,0.0,2.2064273675984953,1.8474811790198553,0.08773724609497463,85.77615768934788,3766401.892647706
192,0.9520904555379861,0.0,100.34210526315789,0.0,2.156847163564629,1.9395193754958853,0.08773740125535251,105.67023259452449,19265701.583785646
256,0.9639430257955199,0.0,134.1811023622047,0.0,2.1278869009949344,1.9934781380840734,0.0877374387230764,122.37175925444016,61205554.030787714
