step,t,dt,mass,KE,IE,PE,E,max_v,max_mach
10,9.8212033308e-03,9.821259e-04,1.0000000000e+00,2.4924812295e-05,2.5000000752e+00,0.0000000000e+00,2.5000250000e+00,9.984951e-03,8.438824e-03
20,1.9642530445e-02,9.821383e-04,1.0000000000e+00,2.4849850718e-05,2.5000001501e+00,0.0000000000e+00,2.5000250000e+00,9.969925e-03,8.426124e-03
30,2.9463981157e-02,9.821506e-04,1.0000000000e+00,2.4775114588e-05,2.5000002249e+00,0.0000000000e+00,2.5000250000e+00,9.954921e-03,8.413443e-03
40,3.9285555283e-02,9.821630e-04,1.0000000000e+00,2.4700603229e-05,2.5000002994e+00,0.0000000000e+00,2.5000250000e+00,9.939940e-03,8.400782e-03
50,4.9107252638e-02,9.821753e-04,1.0000000000e+00,2.4626315963e-05,2.5000003737e+00,0.0000000000e+00,2.5000250000e+00,9.924982e-03,8.388139e-03
60,5.8929073035e-02,9.821876e-04,1.0000000000e+00,2.4552252117e-05,2.5000004477e+00,0.0000000000e+00,2.5000250000e+00,9.910046e-03,8.375516e-03
70,6.8751016287e-02,9.821998e-04,1.0000000000e+00,2.4478411020e-05,2.5000005216e+00,0.0000000000e+00,2.5000250000e+00,9.895132e-03,8.362912e-03
80,7.8573082210e-02,9.822121e-04,1.0000000000e+00,2.4404792001e-05,2.5000005952e+00,0.0000000000e+00,2.5000250000e+00,9.880241e-03,8.350326e-03
90,8.8395270615e-02,9.822243e-04,1.0000000000e+00,2.4331394394e-05,2.5000006686e+00,0.0000000000e+00,2.5000250000e+00,9.865373e-03,8.337760e-03
100,9.8217581315e-02,9.822366e-04,1.0000000000e+00,2.4258217531e-05,2.5000007418e+00,0.0000000000e+00,2.5000250000e+00,9.850526e-03,8.325212e-03
110,1.0804001413e-01,9.822488e-04,1.0000000000e+00,2.4185260751e-05,2.5000008147e+00,0.0000000000e+00,2.5000250000e+00,9.835702e-03,8.312683e-03
120,1.1786256886e-01,9.822610e-04,1.0000000000e+00,2.4112523390e-05,2.5000008875e+00,0.0000000000e+00,2.5000250000e+00,9.820901e-03,8.300173e-03
130,1.2768524533e-01,9.822731e-04,1.0000000000e+00,2.4040004790e-05,2.5000009600e+00,0.0000000000e+00,2.5000250000e+00,9.806121e-03,8.287682e-03
140,1.3750804335e-01,9.822853e-04,1.0000000000e+00,2.3967704292e-05,2.5000010323e+00,0.0000000000e+00,2.5000250000e+00,9.791364e-03,8.275210e-03
150,1.4733096273e-01,9.822974e-04,1.0000000000e+00,2.3895621240e-05,2.5000011044e+00,0.0000000000e+00,2.5000250000e+00,9.776629e-03,8.262757e-03
160,1.5715400330e-01,9.823095e-04,1.0000000000e+00,2.3823754981e-05,2.5000011762e+00,0.0000000000e+00,2.5000250000e+00,9.761917e-03,8.250322e-03
170,1.6697716486e-01,9.823216e-04,1.0000000000e+00,2.3752104863e-05,2.5000012479e+00,0.0000000000e+00,2.5000250000e+00,9.747226e-03,8.237906e-03
180,1.7680044724e-01,9.823337e-04,1.0000000000e+00,2.3680670235e-05,2.5000013193e+00,0.0000000000e+00,2.5000250000e+00,9.732558e-03,8.225509e-03
190,1.8662385025e-01,9.823457e-04,1.0000000000e+00,2.3609450449e-05,2.5000013905e+00,0.0000000000e+00,2.5000250000e+00,9.717911e-03,8.213130e-03
200,1.9644737371e-01,9.823578e-04,1.0000000000e+00,2.3538444860e-05,2.5000014616e+00,0.0000000000e+00,2.5000250000e+00,9.703287e-03,8.200770e-03
210,2.0627101745e-01,9.823698e-04,1.0000000000e+00,2.3467652823e-05,2.5000015323e+00,0.0000000000e+00,2.5000250000e+00,9.688685e-03,8.188429e-03
220,2.1609478127e-01,9.823818e-04,1.0000000000e+00,2.3397073696e-05,2.5000016029e+00,0.0000000000e+00,2.5000250000e+00,9.674104e-03,8.176106e-03
230,2.2591866501e-01,9.823938e-04,1.0000000000e+00,2.3326706838e-05,2.5000016733e+00,0.0000000000e+00,2.5000250000e+00,9.659546e-03,8.163802e-03
240,2.3574266849e-01,9.824057e-04,1.0000000000e+00,2.3256551611e-05,2.5000017434e+00,0.0000000000e+00,2.5000250000e+00,9.645009e-03,8.151516e-03
250,2.4556679153e-01,9.824177e-04,1.0000000000e+00,2.3186607379e-05,2.5000018134e+00,0.0000000000e+00,2.5000250000e+00,9.630495e-03,8.139249e-03
260,2.5539103395e-01,9.824296e-04,1.0000000000e+00,2.3116873507e-05,2.5000018831e+00,0.0000000000e+00,2.5000250000e+00,9.616002e-03,8.127000e-03
270,2.6521539559e-01,9.824415e-04,1.0000000000e+00,2.3047349362e-05,2.5000019527e+00,0.0000000000e+00,2.5000250000e+00,9.601531e-03,8.114769e-03
280,2.7503987628e-01,9.824534e-04,1.0000000000e+00,2.2978034313e-05,2.5000020220e+00,0.0000000000e+00,2.5000250000e+00,9.587082e-03,8.102557e-03
290,2.8486447583e-01,9.824653e-04,1.0000000000e+00,2.2908927732e-05,2.5000020911e+00,0.0000000000e+00,2.5000250000e+00,9.572654e-03,8.090364e-03
300,2.9468919407e-01,9.824772e-04,1.0000000000e+00,2.2840028992e-05,2.5000021600e+00,0.0000000000e+00,2.5000250000e+00,9.558248e-03,8.078188e-03
310,3.0451403085e-01,9.824890e-04,1.0000000000e+00,2.2771337467e-05,2.5000022287e+00,0.0000000000e+00,2.5000250000e+00,9.543864e-03,8.066031e-03
320,3.1433898598e-01,9.825008e-04,1.0000000000e+00,2.2702852533e-05,2.5000022971e+00,0.0000000000e+00,2.5000250000e+00,9.529502e-03,8.053893e-03
330,3.2416405930e-01,9.825126e-04,1.0000000000e+00,2.2634573571e-05,2.5000023654e+00,0.0000000000e+00,2.5000250000e+00,9.515161e-03,8.041772e-03
340,3.3398925063e-01,9.825244e-04,1.0000000000e+00,2.2566499959e-05,2.5000024335e+00,0.0000000000e+00,2.5000250000e+00,9.500842e-03,8.029670e-03
350,3.4381455982e-01,9.825362e-04,1.0000000000e+00,2.2498631080e-05,2.5000025014e+00,0.0000000000e+00,2.5000250000e+00,9.486544e-03,8.017586e-03
360,3.5363998668e-01,9.825480e-04,1.0000000000e+00,2.2430966319e-05,2.5000025690e+00,0.0000000000e+00,2.5000250000e+00,9.472268e-03,8.005521e-03
370,3.6346553106e-01,9.825597e-04,1.0000000000e+00,2.2363505060e-05,2.5000026365e+00,0.0000000000e+00,2.5000250000e+00,9.458013e-03,7.993473e-03
380,3.7329119277e-01,9.825714e-04,1.0000000000e+00,2.2296246692e-05,2.5000027038e+00,0.0000000000e+00,2.5000250000e+00,9.443780e-03,7.981443e-03
390,3.8311697165e-01,9.825832e-04,1.0000000000e+00,2.2229190605e-05,2.5000027708e+00,0.0000000000e+00,2.5000250000e+00,9.429568e-03,7.969432e-03
400,3.9294286754e-01,9.825948e-04,1.0000000000e+00,2.2162336190e-05,2.5000028377e+00,0.0000000000e+00,2.5000250000e+00,9.415377e-03,7.957439e-03
410,4.0276888025e-01,9.826065e-04,1.0000000000e+00,2.2095682840e-05,2.5000029043e+00,0.0000000000e+00,2.5000250000e+00,9.401208e-03,7.945463e-03
420,4.1259500963e-01,9.826182e-04,1.0000000000e+00,2.2029229950e-05,2.5000029708e+00,0.0000000000e+00,2.5000250000e+00,9.387061e-03,7.933506e-03
430,4.2242125549e-01,9.826298e-04,1.0000000000e+00,2.1962976918e-05,2.5000030370e+00,0.0000000000e+00,2.5000250000e+00,9.372934e-03,7.921567e-03
440,4.3224761766e-01,9.826414e-04,1.0000000000e+00,2.1896923142e-05,2.5000031031e+00,0.0000000000e+00,2.5000250000e+00,9.358829e-03,7.909646e-03
450,4.4207409598e-01,9.826531e-04,1.0000000000e+00,2.1831068023e-05,2.5000031689e+00,0.0000000000e+00,2.5000250000e+00,9.344745e-03,7.897742e-03
460,4.5190069026e-01,9.826646e-04,1.0000000000e+00,2.1765410964e-05,2.5000032346e+00,0.0000000000e+00,2.5000250000e+00,9.330682e-03,7.885857e-03
470,4.6172740035e-01,9.826762e-04,1.0000000000e+00,2.1699951370e-05,2.5000033000e+00,0.0000000000e+00,2.5000250000e+00,9.316641e-03,7.873989e-03
480,4.7155422605e-01,9.826878e-04,1.0000000000e+00,2.1634688645e-05,2.5000033653e+00,0.0000000000e+00,2.5000250000e+00,9.302620e-03,7.862140e-03
490,4.8138116720e-01,9.826993e-04,1.0000000000e+00,2.1569622199e-05,2.5000034304e+00,0.0000000000e+00,2.5000250000e+00,9.288621e-03,7.850308e-03
500,4.9120822363e-01,9.827108e-04,1.0000000000e+00,2.1504751442e-05,2.5000034952e+00,0.0000000000e+00,2.5000250000e+00,9.274642e-03,7.838494e-03
509,5.0000000000e-01,9.300484e-04,1.0000000000e+00,2.1446534587e-05,2.5000035535e+00,0.0000000000e+00,2.5000250000e+00,9.262080e-03,7.827876e-03
