scheme,n_eigs,min_re,max_re,n_negative_re
M_asm,62,4.1695185105234864e-08,2.7053690413731655,0
M_prA,62,0.1176868294737697,366.96811155891515,0
M_prB,62,-113.49232518962745,2987748.4253585474,2
