step,t,dt,mass,KE,IE,PE,E,max_v,max_mach
10,9.0075535222e-03,9.007554e-04,1.0000000000e+00,2.5000000000e-05,1.5000000000e+00,0.0000000000e+00,1.5000250000e+00,9.996988e-03,7.743634e-03
20,1.8015107044e-02,9.007554e-04,1.0000000000e+00,2.5000000000e-05,1.5000000000e+00,0.0000000000e+00,1.5000250000e+00,9.996988e-03,7.743634e-03
30,2.7022660567e-02,9.007554e-04,1.0000000000e+00,2.5000000000e-05,1.5000000000e+00,0.0000000000e+00,1.5000250000e+00,9.996988e-03,7.743634e-03
40,3.6030214089e-02,9.007554e-04,1.0000000000e+00,2.5000000000e-05,1.5000000000e+00,0.0000000000e+00,1.5000250000e+00,9.996988e-03,7.743634e-03
50,4.5037767611e-02,9.007554e-04,1.0000000000e+00,2.5000000000e-05,1.5000000000e+00,0.0000000000e+00,1.5000250000e+00,9.996988e-03,7.743634e-03
60,5.4045321133e-02,9.007554e-04,1.0000000000e+00,2.5000000000e-05,1.5000000000e+00,0.0000000000e+00,1.5000250000e+00,9.996988e-03,7.743634e-03
70,6.3052874655e-02,9.007554e-04,1.0000000000e+00,2.5000000000e-05,1.5000000000e+00,0.0000000000e+00,1.5000250000e+00,9.996988e-03,7.743634e-03
80,7.2060428178e-02,9.007554e-04,1.0000000000e+00,2.5000000000e-05,1.5000000000e+00,0.0000000000e+00,1.5000250000e+00,9.996988e-03,7.743634e-03
90,8.1067981700e-02,9.007554e-04,1.0000000000e+00,2.5000000000e-05,1.5000000000e+00,0.0000000000e+00,1.5000250000e+00,9.996988e-03,7.743634e-03
100,9.0075535222e-02,9.007554e-04,1.0000000000e+00,2.5000000000e-05,1.5000000000e+00,0.0000000000e+00,1.5000250000e+00,9.996988e-03,7.743634e-03
110,9.9083088744e-02,9.007554e-04,1.0000000000e+00,2.5000000000e-05,1.5000000000e+00,0.0000000000e+00,1.5000250000e+00,9.996988e-03,7.743634e-03
120,1.0809064227e-01,9.007554e-04,1.0000000000e+00,2.5000000000e-05,1.5000000000e+00,0.0000000000e+00,1.5000250000e+00,9.996988e-03,7.743634e-03
130,1.1709819579e-01,9.007554e-04,1.0000000000e+00,2.5000000000e-05,1.5000000000e+00,0.0000000000e+00,1.5000250000e+00,9.996988e-03,7.743634e-03
140,1.2610574931e-01,9.007554e-04,1.0000000000e+00,2.5000000000e-05,1.5000000000e+00,0.0000000000e+00,1.5000250000e+00,9.996988e-03,7.743634e-03
150,1.3511330283e-01,9.007554e-04,1.0000000000e+00,2.5000000000e-05,1.5000000000e+00,0.0000000000e+00,1.5000250000e+00,9.996988e-03,7.743634e-03
160,1.4412085636e-01,9.007554e-04,1.0000000000e+00,2.5000000000e-05,1.5000000000e+00,0.0000000000e+00,1.5000250000e+00,9.996988e-03,7.743634e-03
170,1.5312840988e-01,9.007554e-04,1.0000000000e+00,2.5000000000e-05,1.5000000000e+00,0.0000000000e+00,1.5000250000e+00,9.996988e-03,7.743634e-03
180,1.6213596340e-01,9.007554e-04,1.0000000000e+00,2.5000000000e-05,1.5000000000e+00,0.0000000000e+00,1.5000250000e+00,9.996988e-03,7.743634e-03
190,1.7114351692e-01,9.007554e-04,1.0000000000e+00,2.5000000000e-05,1.5000000000e+00,0.0000000000e+00,1.5000250000e+00,9.996988e-03,7.743634e-03
200,1.8015107044e-01,9.007554e-04,1.0000000000e+00,2.5000000000e-05,1.5000000000e+00,0.0000000000e+00,1.5000250000e+00,9.996988e-03,7.743634e-03
210,1.8915862397e-01,9.007554e-04,1.0000000000e+00,2.5000000000e-05,1.5000000000e+00,0.0000000000e+00,1.5000250000e+00,9.996988e-03,7.743634e-03
220,1.9816617749e-01,9.007554e-04,1.0000000000e+00,2.5000000000e-05,1.5000000000e+00,0.0000000000e+00,1.5000250000e+00,9.996988e-03,7.743634e-03
230,2.0717373101e-01,9.007554e-04,1.0000000000e+00,2.5000000000e-05,1.5000000000e+00,0.0000000000e+00,1.5000250000e+00,9.996988e-03,7.743634e-03
240,2.1618128453e-01,9.007554e-04,1.0000000000e+00,2.5000000000e-05,1.5000000000e+00,0.0000000000e+00,1.5000250000e+00,9.996988e-03,7.743634e-03
250,2.2518883805e-01,9.007554e-04,1.0000000000e+00,2.5000000000e-05,1.5000000000e+00,0.0000000000e+00,1.5000250000e+00,9.996988e-03,7.743634e-03
260,2.3419639158e-01,9.007554e-04,1.0000000000e+00,2.5000000000e-05,1.5000000000e+00,0.0000000000e+00,1.5000250000e+00,9.996988e-03,7.743634e-03
270,2.4320394510e-01,9.007554e-04,1.0000000000e+00,2.5000000000e-05,1.5000000000e+00,0.0000000000e+00,1.5000250000e+00,9.996988e-03,7.743634e-03
280,2.5221149862e-01,9.007554e-04,1.0000000000e+00,2.5000000000e-05,1.5000000000e+00,0.0000000000e+00,1.5000250000e+00,9.996988e-03,7.743634e-03
