N_r,method,gyre_rows,rd_ng1,rd_max
48,cubic,1000,9.118598776072437e-11,1.483273762273321e-06
64,cubic,1000,2.0159332836791825e-11,1.0603918293419537e-08
96,cubic,1000,6.718542034557457e-12,9.116823949995721e-09
128,cubic,1000,4.692724129226403e-12,8.700987241209854e-09
192,cubic,1000,1.5449310619674644e-11,8.646432126127602e-09
