N_r,method,gyre_rows,rd_ng1,rd_max
96,cubic,1000,6.718542034557457e-12,9.116823949995721e-09
96,cubic,400,4.482765939785587e-10,2.62989110755368e-07
96,cubic,200,3.26134802442229e-08,2.562348504228322e-05
96,cubic,100,145.45215121495445,287.7150380656498
