step,t,dt,mass,KE,IE,PE,E,max_v,max_mach
10,9.0278571078e-03,9.027857e-04,1.0000000000e+00,2.5000000000e-05,1.5000000000e+00,0.0000000000e+00,1.5000250000e+00,7.071068e-03,5.477226e-03
20,1.8055714216e-02,9.027857e-04,1.0000000000e+00,2.5000000000e-05,1.5000000000e+00,0.0000000000e+00,1.5000250000e+00,7.071068e-03,5.477226e-03
30,2.7083571324e-02,9.027857e-04,1.0000000000e+00,2.5000000000e-05,1.5000000000e+00,0.0000000000e+00,1.5000250000e+00,7.071068e-03,5.477226e-03
40,3.6111428431e-02,9.027857e-04,1.0000000000e+00,2.5000000000e-05,1.5000000000e+00,0.0000000000e+00,1.5000250000e+00,7.071068e-03,5.477226e-03
50,4.5139285539e-02,9.027857e-04,1.0000000000e+00,2.5000000000e-05,1.5000000000e+00,0.0000000000e+00,1.5000250000e+00,7.071068e-03,5.477226e-03
60,5.4167142647e-02,9.027857e-04,1.0000000000e+00,2.5000000000e-05,1.5000000000e+00,0.0000000000e+00,1.5000250000e+00,7.071068e-03,5.477226e-03
70,6.3194999755e-02,9.027857e-04,1.0000000000e+00,2.5000000000e-05,1.5000000000e+00,0.0000000000e+00,1.5000250000e+00,7.071068e-03,5.477226e-03
80,7.2222856863e-02,9.027857e-04,1.0000000000e+00,2.5000000000e-05,1.5000000000e+00,0.0000000000e+00,1.5000250000e+00,7.071068e-03,5.477226e-03
90,8.1250713971e-02,9.027857e-04,1.0000000000e+00,2.5000000000e-05,1.5000000000e+00,0.0000000000e+00,1.5000250000e+00,7.071068e-03,5.477226e-03
100,9.0278571078e-02,9.027857e-04,1.0000000000e+00,2.5000000000e-05,1.5000000000e+00,0.0000000000e+00,1.5000250000e+00,7.071068e-03,5.477226e-03
110,9.9306428186e-02,9.027857e-04,1.0000000000e+00,2.5000000000e-05,1.5000000000e+00,0.0000000000e+00,1.5000250000e+00,7.071068e-03,5.477226e-03
120,1.0833428529e-01,9.027857e-04,1.0000000000e+00,2.5000000000e-05,1.5000000000e+00,0.0000000000e+00,1.5000250000e+00,7.071068e-03,5.477226e-03
130,1.1736214240e-01,9.027857e-04,1.0000000000e+00,2.5000000000e-05,1.5000000000e+00,0.0000000000e+00,1.5000250000e+00,7.071068e-03,5.477226e-03
140,1.2638999951e-01,9.027857e-04,1.0000000000e+00,2.5000000000e-05,1.5000000000e+00,0.0000000000e+00,1.5000250000e+00,7.071068e-03,5.477226e-03
150,1.3541785662e-01,9.027857e-04,1.0000000000e+00,2.5000000000e-05,1.5000000000e+00,0.0000000000e+00,1.5000250000e+00,7.071068e-03,5.477226e-03
160,1.4444571373e-01,9.027857e-04,1.0000000000e+00,2.5000000000e-05,1.5000000000e+00,0.0000000000e+00,1.5000250000e+00,7.071068e-03,5.477226e-03
170,1.5347357083e-01,9.027857e-04,1.0000000000e+00,2.5000000000e-05,1.5000000000e+00,0.0000000000e+00,1.5000250000e+00,7.071068e-03,5.477226e-03
180,1.6250142794e-01,9.027857e-04,1.0000000000e+00,2.5000000000e-05,1.5000000000e+00,0.0000000000e+00,1.5000250000e+00,7.071068e-03,5.477226e-03
190,1.7152928505e-01,9.027857e-04,1.0000000000e+00,2.5000000000e-05,1.5000000000e+00,0.0000000000e+00,1.5000250000e+00,7.071068e-03,5.477226e-03
200,1.8055714216e-01,9.027857e-04,1.0000000000e+00,2.5000000000e-05,1.5000000000e+00,0.0000000000e+00,1.5000250000e+00,7.071068e-03,5.477226e-03
210,1.8958499926e-01,9.027857e-04,1.0000000000e+00,2.5000000000e-05,1.5000000000e+00,0.0000000000e+00,1.5000250000e+00,7.071068e-03,5.477226e-03
220,1.9861285637e-01,9.027857e-04,1.0000000000e+00,2.5000000000e-05,1.5000000000e+00,0.0000000000e+00,1.5000250000e+00,7.071068e-03,5.477226e-03
230,2.0764071348e-01,9.027857e-04,1.0000000000e+00,2.5000000000e-05,1.5000000000e+00,0.0000000000e+00,1.5000250000e+00,7.071068e-03,5.477226e-03
240,2.1666857059e-01,9.027857e-04,1.0000000000e+00,2.5000000000e-05,1.5000000000e+00,0.0000000000e+00,1.5000250000e+00,7.071068e-03,5.477226e-03
250,2.2569642770e-01,9.027857e-04,1.0000000000e+00,2.5000000000e-05,1.5000000000e+00,0.0000000000e+00,1.5000250000e+00,7.071068e-03,5.477226e-03
260,2.3472428480e-01,9.027857e-04,1.0000000000e+00,2.5000000000e-05,1.5000000000e+00,0.0000000000e+00,1.5000250000e+00,7.071068e-03,5.477226e-03
270,2.4375214191e-01,9.027857e-04,1.0000000000e+00,2.5000000000e-05,1.5000000000e+00,0.0000000000e+00,1.5000250000e+00,7.071068e-03,5.477226e-03
280,2.5277999902e-01,9.027857e-04,1.0000000000e+00,2.5000000000e-05,1.5000000000e+00,0.0000000000e+00,1.5000250000e+00,7.071068e-03,5.477226e-03
290,2.6180785613e-01,9.027857e-04,1.0000000000e+00,2.5000000000e-05,1.5000000000e+00,0.0000000000e+00,1.5000250000e+00,7.071068e-03,5.477226e-03
300,2.7083571324e-01,9.027857e-04,1.0000000000e+00,2.5000000000e-05,1.5000000000e+00,0.0000000000e+00,1.5000250000e+00,7.071068e-03,5.477226e-03
