step,t,dt,mass,KE,IE,PE,E,max_v,max_mach
10,9.8220337308e-03,9.822914e-04,1.0000000000e+00,2.3823322350e-05,2.5000011767e+00,0.0000000000e+00,2.5000250000e+00,9.761828e-03,8.250247e-03
20,1.9646007325e-02,9.824833e-04,1.0000000000e+00,2.2702027604e-05,2.5000022980e+00,0.0000000000e+00,2.5000250000e+00,9.529329e-03,8.053746e-03
30,2.9471875082e-02,9.826707e-04,1.0000000000e+00,2.1633509203e-05,2.5000033665e+00,0.0000000000e+00,2.5000250000e+00,9.302367e-03,7.861925e-03
40,3.9299592290e-02,9.828537e-04,1.0000000000e+00,2.0615283224e-05,2.5000043847e+00,0.0000000000e+00,2.5000250000e+00,9.080811e-03,7.674674e-03
50,4.9129115312e-02,9.830323e-04,1.0000000000e+00,1.9644982565e-05,2.5000053550e+00,0.0000000000e+00,2.5000250000e+00,8.864531e-03,7.491882e-03
60,5.8960401632e-02,9.832068e-04,1.0000000000e+00,1.8720351488e-05,2.5000062796e+00,0.0000000000e+00,2.5000250000e+00,8.653403e-03,7.313445e-03
70,6.8793409878e-02,9.833772e-04,1.0000000000e+00,1.7839240411e-05,2.5000071608e+00,0.0000000000e+00,2.5000250000e+00,8.447302e-03,7.139257e-03
80,7.8628099777e-02,9.835435e-04,1.0000000000e+00,1.6999600915e-05,2.5000080004e+00,0.0000000000e+00,2.5000250000e+00,8.246111e-03,6.969217e-03
90,8.8464432073e-02,9.837060e-04,1.0000000000e+00,1.6199480963e-05,2.5000088005e+00,0.0000000000e+00,2.5000250000e+00,8.049712e-03,6.803228e-03
100,9.8302368421e-02,9.838647e-04,1.0000000000e+00,1.5437020371e-05,2.5000095630e+00,0.0000000000e+00,2.5000250000e+00,7.857990e-03,6.641192e-03
110,1.0814187129e-01,9.840197e-04,1.0000000000e+00,1.4710446535e-05,2.5000102896e+00,0.0000000000e+00,2.5000250000e+00,7.670835e-03,6.483016e-03
120,1.1798290392e-01,9.841711e-04,1.0000000000e+00,1.4018070346e-05,2.5000109819e+00,0.0000000000e+00,2.5000250000e+00,7.488137e-03,6.328607e-03
130,1.2782543025e-01,9.843188e-04,1.0000000000e+00,1.3358282257e-05,2.5000116417e+00,0.0000000000e+00,2.5000250000e+00,7.309791e-03,6.177876e-03
140,1.3766941502e-01,9.844631e-04,1.0000000000e+00,1.2729548493e-05,2.5000122705e+00,0.0000000000e+00,2.5000250000e+00,7.135692e-03,6.030735e-03
150,1.4751482372e-01,9.846040e-04,1.0000000000e+00,1.2130407450e-05,2.5000128696e+00,0.0000000000e+00,2.5000250000e+00,6.965740e-03,5.887099e-03
160,1.5736162271e-01,9.847415e-04,1.0000000000e+00,1.1559466288e-05,2.5000134405e+00,0.0000000000e+00,2.5000250000e+00,6.799836e-03,5.746884e-03
170,1.6720977918e-01,9.848758e-04,1.0000000000e+00,1.1015397713e-05,2.5000139846e+00,0.0000000000e+00,2.5000250000e+00,6.637883e-03,5.610009e-03
180,1.7705926120e-01,9.850070e-04,1.0000000000e+00,1.0496936895e-05,2.5000145031e+00,0.0000000000e+00,2.5000250000e+00,6.479788e-03,5.476393e-03
190,1.8691003763e-01,9.851350e-04,1.0000000000e+00,1.0002878534e-05,2.5000149971e+00,0.0000000000e+00,2.5000250000e+00,6.325458e-03,5.345960e-03
200,1.9676207812e-01,9.852601e-04,1.0000000000e+00,9.5320740447e-06,2.5000154679e+00,0.0000000000e+00,2.5000250000e+00,6.174803e-03,5.218634e-03
210,2.0661535301e-01,9.853822e-04,1.0000000000e+00,9.0834289022e-06,2.5000159166e+00,0.0000000000e+00,2.5000250000e+00,6.027737e-03,5.094340e-03
220,2.1646983327e-01,9.855015e-04,1.0000000000e+00,8.6559001076e-06,2.5000163441e+00,0.0000000000e+00,2.5000250000e+00,5.884174e-03,4.973007e-03
230,2.2632549050e-01,9.856179e-04,1.0000000000e+00,8.2484937754e-06,2.5000167515e+00,0.0000000000e+00,2.5000250000e+00,5.744030e-03,4.854563e-03
240,2.3618229690e-01,9.857316e-04,1.0000000000e+00,7.8602628161e-06,2.5000171397e+00,0.0000000000e+00,2.5000250000e+00,5.607223e-03,4.738941e-03
250,2.4604022526e-01,9.858426e-04,1.0000000000e+00,7.4903047192e-06,2.5000175097e+00,0.0000000000e+00,2.5000250000e+00,5.473676e-03,4.626072e-03
260,2.5589924901e-01,9.859509e-04,1.0000000000e+00,7.1377594452e-06,2.5000178622e+00,0.0000000000e+00,2.5000250000e+00,5.343308e-03,4.515892e-03
270,2.6575934223e-01,9.860567e-04,1.0000000000e+00,6.8018074255e-06,2.5000181982e+00,0.0000000000e+00,2.5000250000e+00,5.216046e-03,4.408336e-03
280,2.7562047964e-01,9.861600e-04,1.0000000000e+00,6.4816676623e-06,2.5000185183e+00,0.0000000000e+00,2.5000250000e+00,5.091815e-03,4.303342e-03
290,2.8548263663e-01,9.862609e-04,1.0000000000e+00,6.1765959156e-06,2.5000188234e+00,0.0000000000e+00,2.5000250000e+00,4.970543e-03,4.200848e-03
300,2.9534578916e-01,9.863594e-04,1.0000000000e+00,5.8858829719e-06,2.5000191141e+00,0.0000000000e+00,2.5000250000e+00,4.852159e-03,4.100796e-03
310,3.0520991381e-01,9.864556e-04,1.0000000000e+00,5.6088529951e-06,2.5000193911e+00,0.0000000000e+00,2.5000250000e+00,4.736595e-03,4.003127e-03
