step,t,dt,mass,KE,IE,PE,total_E,max_mach,max_v
5,2.6456933328e-04,5.291367e-05,3.0423556349e+00,1.4817161574e-06,2.4227186831e+00,-2.4250811984e+00,-2.3610335449e-03,8.574859e-04,1.107009e-03
10,5.0000000000e-04,2.377699e-05,3.0423556349e+00,5.2920760738e-06,2.4227167781e+00,-2.4250821528e+00,-2.3600826317e-03,1.620533e-03,2.092097e-03
