step,t,dt,mass,KE,IE,PE,E,max_v,max_mach
10,9.0075378830e-03,9.007538e-04,1.0000000000e+00,2.5000000000e-05,1.5000000000e+00,0.0000000000e+00,1.5000250000e+00,9.999247e-03,7.745383e-03
20,1.8015075766e-02,9.007538e-04,1.0000000000e+00,2.5000000000e-05,1.5000000000e+00,0.0000000000e+00,1.5000250000e+00,9.999247e-03,7.745383e-03
30,2.7022613649e-02,9.007538e-04,1.0000000000e+00,2.5000000000e-05,1.5000000000e+00,0.0000000000e+00,1.5000250000e+00,9.999247e-03,7.745383e-03
40,3.6030151532e-02,9.007538e-04,1.0000000000e+00,2.5000000000e-05,1.5000000000e+00,0.0000000000e+00,1.5000250000e+00,9.999247e-03,7.745383e-03
50,4.5037689415e-02,9.007538e-04,1.0000000000e+00,2.5000000000e-05,1.5000000000e+00,0.0000000000e+00,1.5000250000e+00,9.999247e-03,7.745383e-03
60,5.4045227298e-02,9.007538e-04,1.0000000000e+00,2.5000000000e-05,1.5000000000e+00,0.0000000000e+00,1.5000250000e+00,9.999247e-03,7.745383e-03
70,6.3052765181e-02,9.007538e-04,1.0000000000e+00,2.5000000000e-05,1.5000000000e+00,0.0000000000e+00,1.5000250000e+00,9.999247e-03,7.745383e-03
80,7.2060303064e-02,9.007538e-04,1.0000000000e+00,2.5000000000e-05,1.5000000000e+00,0.0000000000e+00,1.5000250000e+00,9.999247e-03,7.745383e-03
90,8.1067840947e-02,9.007538e-04,1.0000000000e+00,2.5000000000e-05,1.5000000000e+00,0.0000000000e+00,1.5000250000e+00,9.999247e-03,7.745383e-03
100,9.0075378830e-02,9.007538e-04,1.0000000000e+00,2.5000000000e-05,1.5000000000e+00,0.0000000000e+00,1.5000250000e+00,9.999247e-03,7.745383e-03
110,9.9082916713e-02,9.007538e-04,1.0000000000e+00,2.5000000000e-05,1.5000000000e+00,0.0000000000e+00,1.5000250000e+00,9.999247e-03,7.745383e-03
120,1.0809045460e-01,9.007538e-04,1.0000000000e+00,2.5000000000e-05,1.5000000000e+00,0.0000000000e+00,1.5000250000e+00,9.999247e-03,7.745383e-03
130,1.1709799248e-01,9.007538e-04,1.0000000000e+00,2.5000000000e-05,1.5000000000e+00,0.0000000000e+00,1.5000250000e+00,9.999247e-03,7.745383e-03
140,1.2610553036e-01,9.007538e-04,1.0000000000e+00,2.5000000000e-05,1.5000000000e+00,0.0000000000e+00,1.5000250000e+00,9.999247e-03,7.745383e-03
150,1.3511306824e-01,9.007538e-04,1.0000000000e+00,2.5000000000e-05,1.5000000000e+00,0.0000000000e+00,1.5000250000e+00,9.999247e-03,7.745383e-03
160,1.4412060613e-01,9.007538e-04,1.0000000000e+00,2.5000000000e-05,1.5000000000e+00,0.0000000000e+00,1.5000250000e+00,9.999247e-03,7.745383e-03
170,1.5312814401e-01,9.007538e-04,1.0000000000e+00,2.5000000000e-05,1.5000000000e+00,0.0000000000e+00,1.5000250000e+00,9.999247e-03,7.745383e-03
180,1.6213568189e-01,9.007538e-04,1.0000000000e+00,2.5000000000e-05,1.5000000000e+00,0.0000000000e+00,1.5000250000e+00,9.999247e-03,7.745383e-03
190,1.7114321978e-01,9.007538e-04,1.0000000000e+00,2.5000000000e-05,1.5000000000e+00,0.0000000000e+00,1.5000250000e+00,9.999247e-03,7.745383e-03
