case,Ny,lam_n,rel_gap_measured,shape_gap_rel,c_predicted,c_variance,a_prime_max,ba_variation
A_trig,32,0.9980401774186958,59.503743333158106,22.884793613045016,59.503743333158155,22.884793613045016,1.5707793225930562,2.324198937948368
A_trig,48,0.9980401774187182,59.50374333315647,22.884793613044476,59.503743333156415,22.884793613044476,1.5707931054830648,2.3293555007667157
A_trig,64,0.9980401774186938,59.50374333315804,22.884793613045044,59.50374333315803,22.88479361304504,1.57079532862246,2.331118652996446
A_trig,96,0.9980401774186913,59.50374333315725,22.88479361304506,59.503743333157146,22.88479361304506,1.5707961336992455,2.332359128296606
A_trig,128,0.9980401774187578,59.503743333153594,22.884793613043357,59.503743333153515,22.884793613043357,1.5707962663327706,2.332788170054819
A_trig,192,0.9980401774186708,59.5037433331584,22.88479361304489,59.50374333315843,22.88479361304489,1.570796314976936,2.333092291101546
A_trig,256,0.9980401774187099,59.50374333315247,22.884793613044792,59.50374333315245,22.884793613044792,1.570796323078105,2.3331980985212044
B_exp,32,1.3835227020626664,55.25077981379807,8.433903016226067,55.25077981379801,8.433903016226068,1.9948780867626736,1.718281828459045
B_exp,48,1.3835227020626701,55.250779813797735,8.433903016225992,55.25077981379777,8.433903016225992,1.997768539972551,1.718281828459045
B_exp,64,1.3835227020626544,55.250779813798765,8.433903016226008,55.25077981379879,8.433903016226004,1.9987574361405092,1.718281828459045
B_exp,96,1.3835227020626424,55.25077981379886,8.433903016226276,55.25077981379883,8.433903016226276,1.999453356969878,1.718281828459045
B_exp,128,1.3835227020627738,55.25077981379282,8.433903016225688,55.2507798137927,8.433903016225688,1.999694088451364,1.718281828459045
B_exp,192,1.3835227020627392,55.25077981379371,8.433903016226454,55.250779813793535,8.433903016226454,1.9998647386729598,1.718281828459045
B_exp,256,1.3835227020625847,55.25077981379897,8.43390301622751,55.25077981379891,8.43390301622751,1.9999241120349747,1.718281828459045
C_poly,32,1.3263638723920574,49.410230890914995,6.434023945710642,49.41023089091493,6.434023945710645,0.8000000000000078,1.2222222222222223
C_poly,48,1.3263638723920521,49.410230890915145,6.4340239457106705,49.41023089091512,6.4340239457106705,0.8000000000001819,1.2222222222222223
C_poly,64,1.326363872392053,49.41023089091523,6.434023945710617,49.41023089091524,6.434023945710617,0.8000000000000682,1.2222222222222223
C_poly,96,1.3263638723920188,49.41023089091669,6.434023945710854,49.410230890916715,6.4340239457108535,0.8000000000001251,1.2222222222222223
C_poly,128,1.3263638723919309,49.41023089092115,6.434023945711129,49.41023089092121,6.434023945711129,0.8000000000005806,1.2222222222222223
C_poly,192,1.3263638723920539,49.41023089091601,6.4340239457104635,49.410230890916125,6.434023945710463,0.8000000000002956,1.2222222222222223
C_poly,256,1.3263638723921436,49.4102308909123,6.434023945710382,49.41023089091233,6.434023945710382,0.8000000000038199,1.2222222222222223
D_ratio1,32,0.8258390062341922,46.80401180658468,8.773246644693883e-15,46.804011806584626,0.0,1.5707793225930562,0.0
D_ratio1,48,0.8258390062342094,46.80401180658368,9.406993989027732e-15,46.80401180658363,8.603889261663054e-15,1.5707931054830648,0.0
D_ratio1,64,0.8258390062341926,46.80401180658477,0.0,46.8040118065846,1.7207778523326458e-14,1.57079532862246,0.0
D_ratio1,96,0.8258390062342023,46.80401180658408,1.7658980991707094e-14,46.804011806584036,1.7207778523326253e-14,1.5707961336992455,0.0
D_ratio1,128,0.8258390062342437,46.804011806581755,9.097451942115146e-15,46.80401180658163,0.0,1.5707962663327706,0.0
D_ratio1,192,0.8258390062341684,46.804011806586075,0.0,46.804011806586004,8.60388926166348e-15,1.570796314976936,0.0
D_ratio1,256,0.8258390062342841,46.80401180657934,0.0,46.804011806579304,8.603889261662276e-15,1.570796323078105,0.0
