step,t,dt,KE,enstrophy,max_v,max_omega,eps_KE,eps_enstrophy,err_L2
20,1.0000000000e-01,5.000000e-03,6.3741336651e-02,2.6305746224e+00,4.775261e-01,4.218795e+00,5.261149e-04,3.052948e-02,nan
40,2.0000000000e-01,5.000000e-03,6.3688755624e-02,2.6275309168e+00,4.772800e-01,4.210613e+00,5.255062e-04,3.035711e-02,nan
