step,t,dt,mass,KE,IE,PE,E,max_v,max_mach
330,2.9725958034e-01,9.007866e-04,1.0000000000e+00,2.5000000000e-05,1.5000000000e+00,0.0000000000e+00,1.5000250000e+00,9.951847e-03,7.708668e-03
340,3.0626744642e-01,9.007866e-04,1.0000000000e+00,2.5000000000e-05,1.5000000000e+00,0.0000000000e+00,1.5000250000e+00,9.951847e-03,7.708668e-03
350,3.1527531249e-01,9.007866e-04,1.0000000000e+00,2.5000000000e-05,1.5000000000e+00,0.0000000000e+00,1.5000250000e+00,9.951847e-03,7.708668e-03
360,3.2428317856e-01,9.007866e-04,1.0000000000e+00,2.5000000000e-05,1.5000000000e+00,0.0000000000e+00,1.5000250000e+00,9.951847e-03,7.708668e-03
370,3.3329104463e-01,9.007866e-04,1.0000000000e+00,2.5000000000e-05,1.5000000000e+00,0.0000000000e+00,1.5000250000e+00,9.951847e-03,7.708668e-03
380,3.4229891070e-01,9.007866e-04,1.0000000000e+00,2.5000000000e-05,1.5000000000e+00,0.0000000000e+00,1.5000250000e+00,9.951847e-03,7.708668e-03
390,3.5130677677e-01,9.007866e-04,1.0000000000e+00,2.5000000000e-05,1.5000000000e+00,0.0000000000e+00,1.5000250000e+00,9.951847e-03,7.708668e-03
400,3.6031464284e-01,9.007866e-04,1.0000000000e+00,2.5000000000e-05,1.5000000000e+00,0.0000000000e+00,1.5000250000e+00,9.951847e-03,7.708668e-03
410,3.6932250891e-01,9.007866e-04,1.0000000000e+00,2.5000000000e-05,1.5000000000e+00,0.0000000000e+00,1.5000250000e+00,9.951847e-03,7.708668e-03
420,3.7833037498e-01,9.007866e-04,1.0000000000e+00,2.5000000000e-05,1.5000000000e+00,0.0000000000e+00,1.5000250000e+00,9.951847e-03,7.708668e-03
430,3.8733824105e-01,9.007866e-04,1.0000000000e+00,2.5000000000e-05,1.5000000000e+00,0.0000000000e+00,1.5000250000e+00,9.951847e-03,7.708668e-03
440,3.9634610713e-01,9.007866e-04,1.0000000000e+00,2.5000000000e-05,1.5000000000e+00,0.0000000000e+00,1.5000250000e+00,9.951847e-03,7.708668e-03
450,4.0535397320e-01,9.007866e-04,1.0000000000e+00,2.5000000000e-05,1.5000000000e+00,0.0000000000e+00,1.5000250000e+00,9.951847e-03,7.708668e-03
460,4.1436183927e-01,9.007866e-04,1.0000000000e+00,2.5000000000e-05,1.5000000000e+00,0.0000000000e+00,1.5000250000e+00,9.951847e-03,7.708668e-03
470,4.2336970534e-01,9.007866e-04,1.0000000000e+00,2.5000000000e-05,1.5000000000e+00,0.0000000000e+00,1.5000250000e+00,9.951847e-03,7.708668e-03
480,4.3237757141e-01,9.007866e-04,1.0000000000e+00,2.5000000000e-05,1.5000000000e+00,0.0000000000e+00,1.5000250000e+00,9.951847e-03,7.708668e-03
490,4.4138543748e-01,9.007866e-04,1.0000000000e+00,2.5000000000e-05,1.5000000000e+00,0.0000000000e+00,1.5000250000e+00,9.951847e-03,7.708668e-03
500,4.5039330355e-01,9.007866e-04,1.0000000000e+00,2.5000000000e-05,1.5000000000e+00,0.0000000000e+00,1.5000250000e+00,9.951847e-03,7.708668e-03
510,4.5940116962e-01,9.007866e-04,1.0000000000e+00,2.5000000000e-05,1.5000000000e+00,0.0000000000e+00,1.5000250000e+00,9.951847e-03,7.708668e-03
520,4.6840903569e-01,9.007866e-04,1.0000000000e+00,2.5000000000e-05,1.5000000000e+00,0.0000000000e+00,1.5000250000e+00,9.951847e-03,7.708668e-03
530,4.7741690176e-01,9.007866e-04,1.0000000000e+00,2.5000000000e-05,1.5000000000e+00,0.0000000000e+00,1.5000250000e+00,9.951847e-03,7.708668e-03
540,4.8642476784e-01,9.007866e-04,1.0000000000e+00,2.5000000000e-05,1.5000000000e+00,0.0000000000e+00,1.5000250000e+00,9.951847e-03,7.708668e-03
550,4.9543263391e-01,9.007866e-04,1.0000000000e+00,2.5000000000e-05,1.5000000000e+00,0.0000000000e+00,1.5000250000e+00,9.951847e-03,7.708668e-03
556,5.0000000000e-01,6.343306e-05,1.0000000000e+00,2.5000000000e-05,1.5000000000e+00,0.0000000000e+00,1.5000250000e+00,9.951847e-03,7.708668e-03
