step,t,dt,mass,KE,IE,PE,E,max_v,max_mach
10,9.8589593600e-03,9.884039e-04,1.0000000000e+00,1.0533107334e-06,2.5000239467e+00,0.0000000000e+00,2.5000250000e+00,2.052615e-03,1.734764e-03
20,1.9753770315e-02,9.899994e-04,1.0000000000e+00,4.4379013368e-08,2.5000249556e+00,0.0000000000e+00,2.5000250000e+00,4.213256e-04,3.560826e-04
30,2.9655980448e-02,9.903276e-04,1.0000000000e+00,1.8698179437e-09,2.5000249981e+00,0.0000000000e+00,2.5000250000e+00,8.648260e-05,7.309061e-05
40,3.9559711159e-02,9.903949e-04,1.0000000000e+00,7.8780914812e-11,2.5000249999e+00,0.0000000000e+00,2.5000250000e+00,1.775169e-05,1.500281e-05
50,4.9463734380e-02,9.904055e-04,1.0000000000e+00,3.3192710389e-12,2.5000250000e+00,0.0000000000e+00,2.5000250000e+00,3.643767e-06,3.079523e-06
60,5.9367802940e-02,9.904075e-04,1.0000000000e+00,1.3985062571e-13,2.5000250000e+00,0.0000000000e+00,2.5000250000e+00,7.479326e-07,6.321139e-07
70,6.9271880802e-02,9.904079e-04,1.0000000000e+00,5.8923171027e-15,2.5000250000e+00,0.0000000000e+00,2.5000250000e+00,1.535246e-07,1.297510e-07
80,7.9175960573e-02,9.904080e-04,1.0000000000e+00,2.4826060432e-16,2.5000250000e+00,0.0000000000e+00,2.5000250000e+00,3.151504e-08,2.663488e-08
90,8.9080040736e-02,9.904080e-04,1.0000000000e+00,1.0459947609e-17,2.5000250000e+00,0.0000000000e+00,2.5000250000e+00,6.471518e-09,5.469392e-09
100,9.8984120979e-02,9.904080e-04,1.0000000000e+00,4.4070837760e-19,2.5000250000e+00,0.0000000000e+00,2.5000250000e+00,1.329727e-09,1.123817e-09
110,1.0888820124e-01,9.904080e-04,1.0000000000e+00,1.8568432622e-20,2.5000250000e+00,0.0000000000e+00,2.5000250000e+00,2.750493e-10,2.324574e-10
120,1.1879228150e-01,9.904080e-04,1.0000000000e+00,7.8243799477e-22,2.5000250000e+00,0.0000000000e+00,2.5000250000e+00,5.833490e-11,4.930164e-11
130,1.2869636177e-01,9.904080e-04,1.0000000000e+00,3.3060470488e-23,2.5000250000e+00,0.0000000000e+00,2.5000250000e+00,1.409635e-11,1.191350e-11
140,1.3860044203e-01,9.904080e-04,1.0000000000e+00,1.4915783970e-24,2.5000250000e+00,0.0000000000e+00,2.5000250000e+00,4.930478e-12,4.166985e-12
150,1.4850452229e-01,9.904080e-04,1.0000000000e+00,1.7981138804e-25,2.5000250000e+00,0.0000000000e+00,2.5000250000e+00,5.350985e-12,4.522375e-12
160,1.5840860256e-01,9.904080e-04,1.0000000000e+00,1.1816949319e-25,2.5000250000e+00,0.0000000000e+00,2.5000250000e+00,5.271306e-12,4.455035e-12
170,1.6831268282e-01,9.904080e-04,1.0000000000e+00,1.1271576616e-25,2.5000250000e+00,0.0000000000e+00,2.5000250000e+00,4.934560e-12,4.170435e-12
180,1.7821676308e-01,9.904080e-04,1.0000000000e+00,1.1342484375e-25,2.5000250000e+00,0.0000000000e+00,2.5000250000e+00,5.295178e-12,4.475210e-12
190,1.8812084335e-01,9.904080e-04,1.0000000000e+00,1.0988186009e-25,2.5000250000e+00,0.0000000000e+00,2.5000250000e+00,4.825205e-12,4.078014e-12
200,1.9802492361e-01,9.904080e-04,1.0000000000e+00,1.1238532838e-25,2.5000250000e+00,0.0000000000e+00,2.5000250000e+00,4.392332e-12,3.712171e-12
210,2.0792900388e-01,9.904080e-04,1.0000000000e+00,1.0999923926e-25,2.5000250000e+00,0.0000000000e+00,2.5000250000e+00,5.163549e-12,4.363964e-12
220,2.1783308414e-01,9.904080e-04,1.0000000000e+00,1.1522336268e-25,2.5000250000e+00,0.0000000000e+00,2.5000250000e+00,5.526043e-12,4.670325e-12
