coupling,omega_dt,alpha_critical
imaginary,0.01,0.025423728813559324
imaginary,0.4154237288135594,0.025423728813559324
imaginary,0.8208474576271187,0.025423728813559324
imaginary,1.2262711864406781,0.025423728813559324
imaginary,1.6316949152542375,0.025423728813559324
imaginary,2.037118644067797,0.025423728813559324
imaginary,2.442542372881356,0.025423728813559324
imaginary,2.847966101694915,0.025423728813559324
real,0.01,0.025423728813559324
real,0.4154237288135594,0.025423728813559324
real,0.8208474576271187,0.025423728813559324
real,1.2262711864406781,0.025423728813559324
real,1.6316949152542375,0.025423728813559324
real,2.037118644067797,0.025423728813559324
real,2.442542372881356,0.025423728813559324
real,2.847966101694915,0.025423728813559324
mixed,0.01,0.025423728813559324
mixed,0.4154237288135594,0.025423728813559324
mixed,0.8208474576271187,0.025423728813559324
mixed,1.2262711864406781,0.025423728813559324
mixed,1.6316949152542375,0.025423728813559324
mixed,2.037118644067797,0.025423728813559324
mixed,2.442542372881356,0.025423728813559324
mixed,2.847966101694915,0.025423728813559324
