alpha,omega_dt,coupling,max_abs_ratio,per_step_growth,rho_theory
0.0001,0.032799999999999996,imaginary,1.0000000231436301,1.0000000000289295,1.0000000000289286
0.00013043213867190053,0.032799999999999996,imaginary,1.0000000301916425,1.0000000000377396,1.0000000000377365
0.00017012542798525892,0.032799999999999996,imaginary,1.0000000393879438,1.0000000000492348,1.0000000000492257
0.0002218982341458972,0.032799999999999996,imaginary,1.0000000513887102,1.000000000064236,1.0000000000642164
0.0002894266124716752,0.032799999999999996,imaginary,1.0000000670514908,1.0000000000838143,1.000000000083776
0.00037750532053243955,0.032799999999999996,imaginary,1.000000087497687,1.000000000109372,1.0000000001092988
0.0004923882631706741,0.032799999999999996,imaginary,1.0000001141948374,1.0000000001427436,1.0000000001426093
0.0006422325422229357,0.032799999999999996,imaginary,1.0000001490654047,1.0000000001863318,1.0000000001860936
0.0008376776400682924,0.032799999999999996,imaginary,1.0000001946310553,1.0000000002432887,1.0000000002428677
0.001092600861117378,0.032799999999999996,imaginary,1.0000002542049409,1.000000000317756,1.00000000031702
0.0014251026703029992,0.032799999999999996,imaginary,1.0000003321494924,1.0000000004151868,1.0000000004139082
0.0018587918911465635,0.032799999999999996,imaginary,1.0000004342245679,1.0000000005427805,1.0000000005405718
0.0024244620170823282,0.032799999999999996,imaginary,1.000000568061886,1.000000000710077,1.000000000706275
0.0031622776601683794,0.032799999999999996,imaginary,1.0000007438184382,1.0000000009297727,1.000000000923246
0.004124626382901352,0.032799999999999996,imaginary,1.0000009750880081,1.0000000012188595,1.0000000012076802
0.005379838403443687,0.032799999999999996,imaginary,1.0000012801912597,1.000000001600238,1.000000001581122
0.00701703828670383,0.032799999999999996,imaginary,1.00000168403188,1.0000000021050381,1.0000000020723878
0.009152473108773892,0.032799999999999996,imaginary,1.000002220815112,1.0000000027760159,1.0000000027203015
0.01193776641714437,0.032799999999999996,imaginary,1.0000029381058053,1.0000000036726269,1.0000000035776246
0.015570684047537317,0.032799999999999996,imaginary,1.0000039030056007,1.0000000048787474,1.0000000047168391
0.020309176209047368,0.032799999999999996,imaginary,1.0000052117435083,1.0000000065146624,1.0000000062388434
0.026489692876105295,0.032799999999999996,imaginary,1.000007004859365,1.0000000087560437,1.0000000082863192
0.03455107294592222,0.032799999999999996,imaginary,1.0000094917047893,1.0000000118645747,1.0000000110648228
0.045065703377454774,0.032799999999999996,imaginary,1.0000129907237607,1.0000000162382994,1.000000014876892
0.058780160722749115,0.032799999999999996,imaginary,1.000017996908292,1.0000000224959331,1.0000000201787542
0.07666822074546215,0.032799999999999996,imaginary,1.0000252968904544,1.0000000316207136,1.0000000276771939
0.1,0.032799999999999996,imaginary,1.0000361691675437,1.0000000452106428,1.0000000384998666
0.13043213867190054,0.032799999999999996,imaginary,1.0000527397974552,1.0000000659230106,1.0000000545038448
0.17012542798525893,0.032799999999999996,imaginary,1.000078629052031,1.000000098282456,1.0000000788523171
0.22189823414589718,0.032799999999999996,imaginary,1.0001201579292032,1.0000001501883997,1.0000001171283832
0.28942661247167517,0.032799999999999996,imaginary,1.0001886661041999,1.000000235810414,1.0000001795606146
0.37750532053243957,0.032799999999999996,imaginary,1.0003051136709227,1.0000003813339893,1.0000002856289523
0.49238826317067413,0.032799999999999996,imaginary,1.0005095530212222,1.0000006367792567,1.0000004739431867
0.6422325422229362,0.032799999999999996,imaginary,1.0008813980417672,1.0000011012629046,1.0000008242011238
0.8376776400682924,0.032799999999999996,imaginary,1.0015846028067696,1.0000019791877692,1.0000015077491837
1.0926008611173779,0.032799999999999996,imaginary,1.0029726625120947,1.0000037103229928,1.0000029080620718
1.4251026703029992,0.032799999999999996,imaginary,1.0058433298890321,1.0000072829313362,1.0000059174682872
1.8587918911465635,0.032799999999999996,imaginary,1.0120854100720542,1.0000150163185042,1.0000126916008794
2.424462017082331,0.032799999999999996,imaginary,1.0264132147985385,1.000032588542417,1.0000286287604983
3.1622776601683795,0.032799999999999996,imaginary,1.0613959988062984,1.0000744840508897,1.000067733830175
0.0001,0.032799999999999996,real,1.0026281527239151,1.0000032808868442,1.0000032808868506
0.00013043213867190053,0.032799999999999996,real,1.0034293258107392,1.0000042793330086,1.0000042793330202
0.00017012542798525892,0.032799999999999996,real,1.0044752751553012,1.000005581629188,1.0000055816292068
0.0002218982341458972,0.032799999999999996,real,1.0058411678683608,1.000007280244488,1.0000072802445208
0.0002894266124716752,0.032799999999999996,real,1.0076255225249307,1.000009495789075,1.0000094957891301
0.00037750532053243955,0.032799999999999996,real,1.0099576522758502,1.0000123855786187,1.0000123855787129
0.0004923882631706741,0.032799999999999996,real,1.0130076124123313,1.0000161548054365,1.000016154805598
0.0006422325422229357,0.032799999999999996,real,1.016999586324187,1.0000210711098745,1.0000210711101503
0.0008376776400682924,0.032799999999999996,real,1.0222300533309248,1.0000274835871126,1.000027483587581
0.001092600861117378,0.032799999999999996,real,1.029092709958984,1.0000358475799282,1.0000358475807267
0.0014251026703029992,0.032799999999999996,real,1.038113102861031,1.0000467570194524,1.0000467570208118
0.0018587918911465635,0.032799999999999996,real,1.0499975205224177,1.0000609866130572,1.000060986615373
0.0024244620170823282,0.032799999999999996,real,1.0657033170465335,1.000079546879675,1.0000795468836159
0.0031622776601683794,0.032799999999999996,real,1.0865423006741175,1.0001037559484367,1.000103755955144
0.004124626382901352,0.032799999999999996,real,1.114336611554147,1.000135333232507,1.0001353332439213
0.005379838403443687,0.032799999999999996,real,1.1516605528648642,1.0001765216529659,1.00017652167239
0.00701703828670383,0.032799999999999996,real,1.2022280010131252,1.000230247131338,1.0002302471643905
0.009152473108773892,0.032799999999999996,real,1.2715356252628829,1.000300326743778,1.0003003268000157
0.01193776641714437,0.032799999999999996,real,1.3679742258202667,1.0003917404330607,1.0003917405287457
0.015570684047537317,0.032799999999999996,real,1.504836430283841,1.000510985768893,1.0005109859316914
0.020309176209047368,0.032799999999999996,real,1.704131154330841,1.0006665412824167,1.0006665415593972
0.026489692876105295,0.032799999999999996,real,2.00426068883365,1.0008694718454496,1.000869472316687
0.03455107294592222,0.032799999999999996,real,2.4765385700163804,1.0011342200507642,1.0011342208524883
0.045065703377454774,0.032799999999999996,real,3.263624135439227,1.001479641435633,1.001479642799608
0.058780160722749115,0.032799999999999996,real,4.677666082840691,1.0019303598569735,1.0019303621774862
0.07666822074546215,0.032799999999999996,real,7.480519458649099,1.0025185440118112,1.0025185479596435
0.1,0.032799999999999996,real,13.800173147816874,1.0032862393074877,1.0032862460237926
0.13043213867190054,0.032799999999999996,real,30.673900456864697,1.0042884343109106,1.0042884457370402
0.17012542798525893,0.032799999999999996,real,86.93820871291614,1.0055971026022192,1.0055971220407742
0.22189823414589718,0.032799999999999996,real,338.3179065955355,1.0073065460009896,1.0073065790701763
0.28942661247167517,0.032799999999999996,real,1990.6349376266508,1.0095404841774316,1.0095405404342221
0.37750532053243957,0.032799999999999996,real,20082.39680847083,1.0124615041286413,1.012461599829024
0.49238826317067413,0.032799999999999996,real,409238.3750035469,1.016283724289025,1.0162838870805266
0.6422325422229362,0.032799999999999996,real,20855562.682063386,1.0212898774152939,1.0212901543107442
0.8376776400682924,0.032799999999999996,real,3510122113.3149395,1.027854526497298,1.0278549974135358
1.0926008611173779,0.032799999999999996,real,2801293139378.1333,1.0364758756746206,1.0364766763900095
1.4251026703029992,0.032799999999999996,real,1.6953432968753182e+16,1.0478197307177535,1.0478210917169635
1.8587918911465635,0.032799999999999996,real,1.4286950274192447e+21,1.0627807375747913,1.0627830495416777
2.424462017082331,0.032799999999999996,real,3.666233284835847e+27,1.0825682234340936,1.082572147033164
3.1622776601683795,0.032799999999999996,real,7.780084191825889e+35,1.1088268413953248,1.1088334895699448
0.0001,0.032799999999999996,mixed,1.0018576867665858,1.0000023199569417,1.0000023199569457
0.00013043213867190053,0.032799999999999996,mixed,1.0024237052765148,1.0000030259706285,1.0000030259706345
0.00017012542798525892,0.032799999999999996,mixed,1.003162455976707,1.000003946840202,1.00000394684021
0.0002218982341458972,0.032799999999999996,mixed,1.004126842643456,1.0000051479514807,1.0000051479514913
0.0002894266124716752,0.032799999999999996,mixed,1.0053861063542113,1.00000671458899,1.0000067145890048
0.00037750532053243955,0.032799999999999996,mixed,1.0070309647817408,1.0000087579918493,1.0000087579918695
0.0004923882631706741,0.032799999999999996,mixed,1.0091804340749697,1.0000114232527915,1.0000114232528192
0.0006422325422229357,0.032799999999999996,mixed,1.0119909299165595,1.0000148996213634,1.0000148996214027
0.0008376776400682924,0.032799999999999996,mixed,1.0156684868884855,1.0000194339431852,1.0000194339432418
0.001092600861117378,0.032799999999999996,mixed,1.0204852964967936,1.0000253481900443,1.000025348190128
0.0014251026703029992,0.032799999999999996,mixed,1.0268023143069054,1.00003306232644,1.000033062326565
0.0018587918911465635,0.032799999999999996,mixed,1.0351005443891017,1.0000431241377394,1.0000431241379286
0.0024244620170823282,0.032799999999999996,mixed,1.0460249801087802,1.0000562481405106,1.0000562481408037
0.0031622776601683794,0.032799999999999996,mixed,1.0604474279537166,1.0000733663423125,1.0000733663427717
0.004124626382901352,0.032799999999999996,mixed,1.0795582260103929,1.0000956944627506,1.0000956944634811
0.005379838403443687,0.032799999999999996,mixed,1.105003423679443,1.0001248183308065,1.0001248183319844
0.00701703828670383,0.032799999999999996,mixed,1.1390956873717226,1.000162806615209,1.0001628066171275
0.009152473108773892,0.032799999999999996,mixed,1.1851487666640081,1.0002123579299986,1.000212357933152
0.01193776641714437,0.032799999999999996,mixed,1.2480265896327012,1.0002769928248245,1.0002769928300494
0.015570684047537317,0.032799999999999996,mixed,1.3350801369685823,1.000361304401896,1.000361304410607
0.020309176209047368,0.032799999999999996,mixed,1.4578162796330885,1.0004712855416065,1.000471285556209
0.026489692876105295,0.032799999999999996,mixed,1.6350181809864133,1.000614756290436,1.0006147563150232
0.03455107294592222,0.032799999999999996,mixed,1.8989113484547093,1.0008019223022206,1.0008019223437812
0.045065703377454774,0.032799999999999996,mixed,2.3081503806301873,1.0010461049149184,1.001046104985423
0.058780160722749115,0.032799999999999996,mixed,2.9772878022252267,1.0013646962924159,1.0013646964124168
0.07666822074546215,0.032799999999999996,mixed,4.149806467567338,1.0017804101750294,1.0017804103799743
0.1,0.032799999999999996,mixed,6.399259803721047,1.002322921721804,1.0023229220730925
0.13043213867190054,0.032799999999999996,mixed,11.258791720404716,1.0030310209200073,1.0030310215246159
0.17012542798525893,0.032799999999999996,mixed,23.526214221860975,1.003955446333273,1.0039554473788732
0.22189823414589718,0.032799999999999996,mixed,61.526932816393696,1.0051626244200207,1.0051626262386713
0.28942661247167517,0.032799999999999996,mixed,215.6398422259822,1.0067396217438287,1.0067396249291534
0.37750532053243957,0.032799999999999996,mixed,1107.418985149481,1.0088007349278123,1.0088007405541795
0.49238826317067413,0.032799999999999996,mixed,9363.626748414088,1.0114963154498167,1.0114963254899423
0.6422325422229362,0.032799999999999996,mixed,151804.1600735614,1.01502468580248,1.0150247039391669
0.8376776400682924,0.032799999999999996,mixed,5759117.133288261,1.019648406569308,1.0196484398068182
1.0926008611173779,0.032799999999999996,mixed,663705679.9102384,1.025716801476763,1.025716863409175
1.4251026703029992,0.032799999999999996,mixed,327226242022.3606,1.0336977242685361,1.0336978418523992
1.8587918911465635,0.032799999999999996,mixed,1083271565481173.6,1.0442234014225227,1.0442236293031988
2.424462017082331,0.032799999999999996,mixed,4.370829720724271e+19,1.0581584511682287,1.0581589025645342
3.1622776601683795,0.032799999999999996,mixed,4.754156430838379e+25,1.076704038072295,1.076704952435575
